Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,2,9,-126.0,-104.0,947.9412,839.0662,1129757.3750,5120512.5000,5.1205
2,2,8,-132.0,-104.0,772.0225,767.1588,1006340.0625,4561136.0000,4.5611
3,2,7,-138.0,-104.0,1004.7275,1072.7338,936604.6875,4245067.0000,4.2451
4,2,6,-144.0,-104.0,193.6825,1421.7075,136232.3281,617459.4375,0.6175
5,2,5,-150.0,-104.0,910.2562,1443.7163,630495.2500,2857656.7500,2.8577
6,2,4,-156.0,-104.0,634.9738,714.1000,889194.4375,4030185.0000,4.0302
7,2,3,-162.0,-104.0,874.1725,772.1663,1132104.0000,5131148.5000,5.1311
8,2,2,-168.0,-104.0,560.6800,520.0025,1078225.7500,4886950.5000,4.8870
9,2,1,-174.0,-104.0,283.6762,-4.4912,63161984.0000,286275392.0000,286.2754
10,3,1,-180.0,-98.0,334.9813,-4.7150,71045864.0000,322008288.0000,322.0083
11,3,2,-174.0,-98.0,481.8625,217.4675,2215791.0000,10042851.0000,10.0429
12,3,3,-168.0,-98.0,586.6575,407.9375,1438106.3750,6518073.5000,6.5181
13,3,4,-162.0,-98.0,736.6275,1237.3688,595317.6875,2698218.0000,2.6982
14,3,5,-156.0,-98.0,851.9462,1951.8313,436485.6250,1978327.5000,1.9783
15,3,6,-150.0,-98.0,825.8700,1301.9513,634332.5000,2875048.7500,2.8750
16,3,7,-144.0,-98.0,484.2050,283.2462,1709484.3750,7748067.0000,7.7481
17,3,8,-138.0,-98.0,1118.4700,598.3663,1869206.3750,8471991.0000,8.4720
18,3,9,-132.0,-98.0,788.0600,295.2638,2669003.5000,12096992.0000,12.0970
19,3,10,-126.0,-98.0,751.9537,234.4688,3207053.5000,14535650.0000,14.5357
20,3,11,-120.0,-98.0,913.0513,216.2950,4221324.0000,19132730.0000,19.1327
21,4,13,-114.0,-92.0,784.8937,119.2075,6584265.5000,29842526.0000,29.8425
22,4,12,-120.0,-92.0,557.4462,89.3175,6241176.0000,28287506.0000,28.2875
23,4,11,-126.0,-92.0,462.5688,66.0713,7001060.0000,31731606.0000,31.7316
24,4,10,-132.0,-92.0,743.0963,107.6687,6901690.0000,31281220.0000,31.2812
25,4,9,-138.0,-92.0,779.8025,194.9300,4000423.5000,18131520.0000,18.1315
26,4,8,-144.0,-92.0,746.6663,798.9163,934598.9375,4235976.5000,4.2360
27,4,7,-150.0,-92.0,865.8137,254.5750,3401016.5000,15414768.0000,15.4148
28,4,6,-156.0,-92.0,517.0137,311.3912,1660334.8750,7525302.0000,7.5253
29,4,5,-162.0,-92.0,491.2737,256.1075,1918232.5000,8694197.0000,8.6942
30,4,4,-168.0,-92.0,223.4688,432.6375,516526.5625,2341105.0000,2.3411
31,4,3,-174.0,-92.0,578.4938,144.1263,4013799.0000,18192144.0000,18.1921
32,4,2,-180.0,-92.0,347.2963,81.4512,4263854.5000,19325494.0000,19.3255
33,4,1,-186.0,-92.0,293.9500,67.2850,4368730.5000,19800834.0000,19.8008
34,5,1,-186.0,-86.0,331.7112,37.3050,8891871.0000,40301516.0000,40.3015
35,5,2,-180.0,-86.0,275.1162,105.9325,2597090.0000,11771051.0000,11.7711
36,5,3,-174.0,-86.0,209.5862,136.9612,1530259.6250,6935749.0000,6.9357
37,5,4,-168.0,-86.0,587.4825,75.8025,7750173.5000,35126888.0000,35.1269
38,5,5,-162.0,-86.0,41.1200,132.2988,310811.6875,1408722.8750,1.4087
39,5,6,-156.0,-86.0,217.5075,160.5188,1355028.6250,6141532.0000,6.1415
40,5,7,-150.0,-86.0,334.9850,75.6113,4430359.5000,20080162.0000,20.0802
41,5,8,-144.0,-86.0,11.0763,140.6475,78751.8515,356934.9062,0.3569
42,5,9,-138.0,-86.0,240.6150,55.9750,4298616.0000,19483048.0000,19.4830
43,5,10,-132.0,-86.0,319.4188,60.9575,5240024.5000,23749888.0000,23.7499
44,5,11,-126.0,-86.0,423.5150,92.3863,4584178.0000,20777328.0000,20.7773
45,5,12,-120.0,-86.0,716.9963,117.4825,6103005.0000,27661260.0000,27.6613
46,5,13,-114.0,-86.0,875.5950,182.8350,4788990.0000,21705618.0000,21.7056
47,6,14,-114.0,-80.0,1193.8875,625.2612,1909421.8750,8654264.0000,8.6543
48,6,13,-120.0,-80.0,1197.1226,233.3212,5130791.0000,23254798.0000,23.2548
49,6,12,-126.0,-80.0,86.9800,109.3325,795554.9375,3605773.2500,3.6058
50,6,11,-132.0,-80.0,199.7563,42.5025,4699871.0000,21301696.0000,21.3017
51,6,10,-138.0,-80.0,198.8763,38.3425,5186836.0000,23508816.0000,23.5088
52,6,9,-144.0,-80.0,121.9525,38.0712,3203270.0000,14518501.0000,14.5185
53,6,8,-150.0,-80.0,185.2688,39.7438,4661582.5000,21128158.0000,21.1282
54,6,7,-156.0,-80.0,341.3538,19.7437,17289206.0000,78361600.0000,78.3616
55,6,6,-162.0,-80.0,193.3050,36.3887,5312219.0000,24077102.0000,24.0771
56,6,5,-168.0,-80.0,113.4437,724.5625,156568.6093,709631.5625,0.7096
57,6,4,-174.0,-80.0,255.8062,86.5863,2954352.0000,13390305.0000,13.3903
58,6,3,-180.0,-80.0,287.0250,65.3725,4390608.0000,19899992.0000,19.9000
59,6,2,-186.0,-80.0,555.2888,93.2100,5957395.0000,27001298.0000,27.0013
60,7,2,-186.0,-74.0,200.1113,58.6387,3412611.2500,15467320.0000,15.4673
61,7,3,-180.0,-74.0,205.3625,38.4350,5343112.0000,24217122.0000,24.2171
62,7,4,-174.0,-74.0,171.8412,29.7575,5774720.5000,26173344.0000,26.1733
63,7,5,-168.0,-74.0,245.3112,31.4287,7805313.5000,35376804.0000,35.3768
64,7,6,-162.0,-74.0,214.9875,36.6787,5861364.5000,26566050.0000,26.5661
65,7,7,-156.0,-74.0,241.4713,32.0187,7541558.0000,34181360.0000,34.1814
66,7,8,-150.0,-74.0,213.5600,43.4700,4912813.5000,22266836.0000,22.2668
67,7,9,-144.0,-74.0,180.2075,53.9175,3342282.2500,15148561.0000,15.1486
68,7,10,-138.0,-74.0,365.6650,73.4500,4978421.0000,22564196.0000,22.5642
69,7,11,-132.0,-74.0,525.3700,128.2700,4095813.5000,18563866.0000,18.5639
70,7,12,-126.0,-74.0,957.7413,145.6962,6573549.0000,29793954.0000,29.7940
71,7,13,-120.0,-74.0,696.2575,189.9113,3666225.5000,16616801.0000,16.6168
72,7,14,-114.0,-74.0,606.6813,332.1100,1826748.1250,8279553.5000,8.2796
73,8,14,-114.0,-68.0,325.1512,89.1712,3646369.0000,16526803.0000,16.5268
74,8,13,-120.0,-68.0,364.3600,82.7838,4401347.0000,19948666.0000,19.9487
75,8,12,-126.0,-68.0,613.1163,158.8087,3860721.5000,17498334.0000,17.4983
76,8,11,-132.0,-68.0,660.3362,107.7350,6129264.0000,27780276.0000,27.7803
77,8,10,-138.0,-68.0,454.6575,68.2350,6663113.0000,30199894.0000,30.1999
78,8,9,-144.0,-68.0,683.5450,75.1250,9098768.0000,41239256.0000,41.2393
79,8,8,-150.0,-68.0,97.7800,40.7825,2397597.2500,10866870.0000,10.8669
80,8,7,-156.0,-68.0,216.9088,31.1238,6969236.0000,31587366.0000,31.5874
81,8,6,-162.0,-68.0,572.8862,16.4775,34767788.0000,157581520.0000,157.5815
82,8,5,-168.0,-68.0,1214.7725,2.1562,563372800.0000,2553431040.0000,2553.4310
83,8,4,-174.0,-68.0,1053.3662,5.2088,202230160.0000,916588032.0000,916.5880
84,8,3,-180.0,-68.0,570.3387,11.9250,47827152.0000,216771792.0000,216.7718
85,8,2,-186.0,-68.0,372.9438,27.8287,13401383.0000,60740432.0000,60.7404
86,9,2,-186.0,-62.0,205.5325,32.6312,6298640.5000,28547960.0000,28.5480
