Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,2,9,-126.0,-104.0,960.1788,728.9550,1317199.0000,5970073.0000,5.9701
2,2,8,-132.0,-104.0,873.3325,696.1113,1254587.6250,5686293.0000,5.6863
3,2,7,-138.0,-104.0,954.7950,941.3750,1014255.7500,4597013.0000,4.5970
4,2,6,-144.0,-104.0,1046.9637,1180.0212,887241.4375,4021333.2500,4.0213
5,2,5,-150.0,-104.0,1034.6262,1091.3850,947993.8125,4296687.5000,4.2967
6,2,4,-156.0,-104.0,1046.8738,1101.3313,950553.0000,4308286.5000,4.3083
7,2,3,-162.0,-104.0,803.9475,863.2775,931273.5625,4220904.5000,4.2209
8,2,2,-168.0,-104.0,455.1925,528.1800,861813.2500,3906082.5000,3.9061
9,2,1,-174.0,-104.0,413.2800,22.7013,18205164.0000,82513088.0000,82.5131
10,3,1,-180.0,-98.0,512.1362,18.8525,27165430.0000,123124600.0000,123.1246
11,3,2,-174.0,-98.0,324.4413,199.3450,1627536.5000,7376646.5000,7.3766
12,3,3,-168.0,-98.0,498.6862,567.8025,878274.1875,3980690.0000,3.9807
13,3,4,-162.0,-98.0,656.0538,764.0812,858617.8750,3891599.7500,3.8916
14,3,5,-156.0,-98.0,747.5575,632.9850,1181003.5000,5352780.5000,5.3528
15,3,6,-150.0,-98.0,1423.9513,695.9537,2046043.2500,9273487.0000,9.2735
16,3,7,-144.0,-98.0,790.9738,339.8600,2327352.0000,10548491.0000,10.5485
17,3,8,-138.0,-98.0,1015.2150,633.2687,1603134.7500,7266048.0000,7.2660
18,3,9,-132.0,-98.0,736.1763,300.4975,2449858.2500,11103738.0000,11.1037
19,3,10,-126.0,-98.0,873.0475,308.1775,2832937.2500,12840005.0000,12.8400
20,3,11,-120.0,-98.0,975.7037,212.3938,4593844.0000,20821140.0000,20.8211
21,4,13,-114.0,-92.0,877.7750,87.5663,10024125.0000,45433344.0000,45.4333
22,4,12,-120.0,-92.0,849.8600,109.9037,7732766.5000,35047992.0000,35.0480
23,4,11,-126.0,-92.0,851.6312,129.6500,6568695.5000,29771956.0000,29.7720
24,4,10,-132.0,-92.0,980.0850,113.2988,8650449.0000,39207296.0000,39.2073
25,4,9,-138.0,-92.0,889.7875,233.3862,3812510.5000,17279824.0000,17.2798
26,4,8,-144.0,-92.0,913.3212,472.1837,1934249.7500,8766794.0000,8.7668
27,4,7,-150.0,-92.0,965.9825,393.3725,2455643.2500,11129958.0000,11.1300
28,4,6,-156.0,-92.0,700.0162,445.5575,1571102.0000,7120863.0000,7.1209
29,4,5,-162.0,-92.0,521.7637,268.1025,1946135.3750,8820664.0000,8.8207
30,4,4,-168.0,-92.0,647.8325,178.7137,3624973.7500,16429832.0000,16.4298
31,4,3,-174.0,-92.0,468.1025,203.4650,2300654.0000,10427484.0000,10.4275
32,4,2,-180.0,-92.0,422.9763,105.4525,4011059.7500,18179728.0000,18.1797
33,4,1,-186.0,-92.0,421.6725,77.8050,5419607.0000,24563828.0000,24.5638
34,5,1,-186.0,-86.0,432.4275,43.3312,9979576.0000,45231432.0000,45.2314
35,5,2,-180.0,-86.0,330.6800,98.9575,3341637.0000,15145636.0000,15.1456
36,5,3,-174.0,-86.0,152.2800,146.8488,1036985.3750,4700032.5000,4.7000
37,5,4,-168.0,-86.0,322.6613,77.0238,4189114.2500,18986742.0000,18.9867
38,5,5,-162.0,-86.0,46.1412,121.0263,381249.9062,1727977.1250,1.7280
39,5,6,-156.0,-86.0,289.5612,190.3050,1521564.2500,6896338.0000,6.8963
40,5,7,-150.0,-86.0,377.0212,84.1500,4480347.5000,20306728.0000,20.3067
41,5,8,-144.0,-86.0,242.0437,135.5425,1785740.8750,8093692.0000,8.0937
42,5,9,-138.0,-86.0,344.3987,65.3025,5273898.5000,23903418.0000,23.9034
43,5,10,-132.0,-86.0,424.8950,74.6513,5691733.0000,25797212.0000,25.7972
44,5,11,-126.0,-86.0,531.4138,96.2375,5521899.5000,25027458.0000,25.0275
45,5,12,-120.0,-86.0,646.8488,117.3425,5512485.0000,24984788.0000,24.9848
46,5,13,-114.0,-86.0,751.2750,204.5188,3673379.7500,16649227.0000,16.6492
47,6,14,-114.0,-80.0,1138.9513,641.0438,1776713.8750,8052778.0000,8.0528
48,6,13,-120.0,-80.0,1114.5050,207.5712,5369265.5000,24335660.0000,24.3357
49,6,12,-126.0,-80.0,332.1425,107.5275,3088907.7500,14000166.0000,14.0002
50,6,11,-132.0,-80.0,384.6200,78.1562,4921168.0000,22304702.0000,22.3047
51,6,10,-138.0,-80.0,371.0650,72.3938,5125649.5000,23231494.0000,23.2315
52,6,9,-144.0,-80.0,312.5038,53.3925,5852952.0000,26527920.0000,26.5279
53,6,8,-150.0,-80.0,296.8225,47.8750,6199948.5000,28100648.0000,28.1006
54,6,7,-156.0,-80.0,245.8687,50.3512,4883071.5000,22132034.0000,22.1320
55,6,6,-162.0,-80.0,239.9763,48.3763,4960621.5000,22483522.0000,22.4835
56,6,5,-168.0,-80.0,313.2737,61.6725,5079634.5000,23022936.0000,23.0229
57,6,4,-174.0,-80.0,339.8400,50.4300,6738846.5000,30543148.0000,30.5431
58,6,3,-180.0,-80.0,23.5763,334.7400,70431.5312,319223.8750,0.3192
