Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,1,1,-162.0,-110.0,1000.0938,858.0112,,,
2,1,2,-156.0,-110.0,1140.8113,2028.5725,,,
3,1,3,-150.0,-110.0,1117.6425,1555.475,,,
4,1,4,-144.0,-110.0,1085.0062,1504.04,,,
5,1,5,-138.0,-110.0,1039.9825,1698.9537,,,
9,2,1,-174.0,-104.0,409.4887,1375.3538,297733.4062,1349446.875,1.3494
8,2,2,-168.0,-104.0,512.2075,239.8087,2135900.25,9680755.0,9.6808
7,2,3,-162.0,-104.0,797.55,533.8362,1493997.5,6771394.5,6.7714
6,2,4,-156.0,-104.0,1061.4237,979.67,1083450.375,4910630.5,4.9106
5,2,5,-150.0,-104.0,984.1113,847.3287,1161428.0,5264056.5,5.2641
4,2,6,-144.0,-104.0,1093.7375,1073.2913,1019050.125,4618743.0,4.6187
3,2,7,-138.0,-104.0,1178.1324,751.845,1566988.75,7102220.0,7.1022
2,2,8,-132.0,-104.0,1506.6737,847.3075,1778190.125,8059469.0,8.0595
1,2,9,-126.0,-104.0,1216.5837,2047.9375,594053.25,2692487.0,2.6925
10,3,1,-180.0,-98.0,920.9925,686.3175,1341933.625,6082180.0,6.0822
11,3,2,-174.0,-98.0,675.9512,1043.2725,647914.375,2936607.25,2.9366
12,3,3,-168.0,-98.0,119.8988,709.9288,168888.4375,765470.0,0.7655
13,3,4,-162.0,-98.0,642.9888,481.7162,1334787.375,6049790.5,6.0498
14,3,5,-156.0,-98.0,681.4713,705.8762,965426.0,4375697.0,4.3757
15,3,6,-150.0,-98.0,806.7737,886.0862,910491.25,4126710.75,4.1267
16,3,7,-144.0,-98.0,1002.6525,863.7375,1160830.25,5261347.0,5.2613
17,3,8,-138.0,-98.0,1106.485,1215.4175,910374.4375,4126181.25,4.1262
18,3,9,-132.0,-98.0,1157.575,760.1425,1522839.5,6902118.0,6.9021
19,3,10,-126.0,-98.0,884.8925,282.525,3132085.75,14195866.0,14.1959
20,3,11,-120.0,-98.0,968.1725,304.0275,3184490.0,14433383.0,14.4334
33,4,1,-186.0,-92.0,1416.3625,106.0338,13357658.0,60542252.0,60.5423
32,4,2,-180.0,-92.0,230.8087,422.0,546940.1875,2478951.75,2.479
31,4,3,-174.0,-92.0,154.235,452.1913,341083.5625,1545927.125,1.5459
30,4,4,-168.0,-92.0,503.8263,157.9688,3189404.75,14455659.0,14.4557
29,4,5,-162.0,-92.0,490.4475,760.17,645181.375,2924220.25,2.9242
28,4,6,-156.0,-92.0,397.9838,503.2487,790829.125,3584354.0,3.5844
27,4,7,-150.0,-92.0,606.6763,341.1875,1778131.625,8059204.0,8.0592
26,4,8,-144.0,-92.0,479.0262,279.015,1716847.625,7781440.5,7.7814
25,4,9,-138.0,-92.0,941.7125,1391.3175,676849.5,3067752.75,3.0678
24,4,10,-132.0,-92.0,779.9625,177.7988,4386771.5,19882604.0,19.8826
23,4,11,-126.0,-92.0,621.7863,117.5738,5288478.5,23969500.0,23.9695
22,4,12,-120.0,-92.0,631.73,130.5488,4839035.5,21932446.0,21.9324
21,4,13,-114.0,-92.0,848.0388,153.8825,5510950.5,24977832.0,24.9778
34,5,1,-186.0,-86.0,641.165,80.65,7949969.0,36032440.0,36.0324
35,5,2,-180.0,-86.0,354.0025,105.0912,3368525.25,15267504.0,15.2675
36,5,3,-174.0,-86.0,431.5375,93.0,4640188.5,21031190.0,21.0312
37,5,4,-168.0,-86.0,131.01,152.0137,861829.875,3906157.75,3.9062
38,5,5,-162.0,-86.0,56.115,146.8175,382209.25,1732325.25,1.7323
39,5,6,-156.0,-86.0,560.6,635.5325,882094.9375,3998007.25,3.998
40,5,7,-150.0,-86.0,398.5988,138.3075,2881975.0,13062264.0,13.0623
41,5,8,-144.0,-86.0,266.9237,229.9888,1160594.75,5260280.0,5.2603
42,5,9,-138.0,-86.0,494.1725,92.9275,5317828.5,24102526.0,24.1025
43,5,10,-132.0,-86.0,530.7637,111.205,4772840.5,21632422.0,21.6324
44,5,11,-126.0,-86.0,601.3613,121.9062,4932981.5,22358246.0,22.3582
45,5,12,-120.0,-86.0,731.195,156.5638,4670270.5,21167534.0,21.1675
46,5,13,-114.0,-86.0,989.8025,314.6112,3146113.25,14259444.0,14.2594
66,6,1,-192.0,-80.0,542.6788,194.5225,,,
59,6,2,-186.0,-80.0,427.1613,165.9475,2574074.75,11666737.0,11.6667
58,6,3,-180.0,-80.0,317.0,88.3375,3588510.0,16264563.0,16.2646
57,6,4,-174.0,-80.0,361.1988,72.0563,5012734.0,22719716.0,22.7197
56,6,5,-168.0,-80.0,330.8488,67.95,4869003.5,22068272.0,22.0683
55,6,6,-162.0,-80.0,381.4587,68.435,5574030.0,25263734.0,25.2637
54,6,7,-156.0,-80.0,324.7513,68.75,4723654.5,21409492.0,21.4095
53,6,8,-150.0,-80.0,364.0738,77.3363,4707673.0,21337058.0,21.3371
52,6,9,-144.0,-80.0,374.4513,79.9825,4681665.0,21219180.0,21.2192
51,6,10,-138.0,-80.0,425.2075,89.6787,4741452.0,21490158.0,21.4902
50,6,11,-132.0,-80.0,498.5075,130.1087,3831468.25,17365748.0,17.3657
49,6,12,-126.0,-80.0,721.5,121.3025,5947940.0,26958444.0,26.9584
48,6,13,-120.0,-80.0,1230.0737,259.3612,4742705.0,21495836.0,21.4958
47,6,14,-114.0,-80.0,1097.25,577.9062,1898664.625,8605508.0,8.6055
52,6,15,-108.0,-80.0,1136.7712,329.2312,,,
67,7,1,-192.0,-74.0,1069.7476,166.5363,,,
60,7,2,-186.0,-74.0,473.6913,83.2462,5690242.0,25790454.0,25.7905
61,7,3,-180.0,-74.0,301.7538,76.825,3927806.75,17802392.0,17.8024
62,7,4,-174.0,-74.0,328.53,57.4,5723519.5,25941280.0,25.9413
63,7,5,-168.0,-74.0,345.4937,61.4512,5622242.0,25482250.0,25.4823
64,7,6,-162.0,-74.0,527.285,61.9325,8513865.0,38588244.0,38.5882
65,7,7,-156.0,-74.0,375.65,60.7875,6179725.0,28008986.0,28.009
66,7,8,-150.0,-74.0,380.5713,72.1375,5275637.5,23911300.0,23.9113
67,7,9,-144.0,-74.0,376.8675,90.0575,4184743.25,18966930.0,18.9669
68,7,10,-138.0,-74.0,377.4325,104.7125,3604465.0,16336878.0,16.3369
