Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,1,1,-162.0,-110.0,1000.0938,858.0112,,,
2,1,2,-156.0,-110.0,1140.8113,2028.5725,,,
3,1,3,-150.0,-110.0,1117.6425,1555.475,,,
4,1,4,-144.0,-110.0,1085.0062,1504.04,,,
5,1,5,-138.0,-110.0,1039.9825,1698.9537,,,
9,2,1,-174.0,-104.0,331.7437,27.9487,11869716.0,53798304.0,53.7983
8,2,2,-168.0,-104.0,23.2437,872.4888,26640.746,120746.5234,0.1207
7,2,3,-162.0,-104.0,742.14,567.4738,1307796.25,5927456.0,5.9275
6,2,4,-156.0,-104.0,1062.9062,1405.1875,756415.9375,3428379.75,3.4284
5,2,5,-150.0,-104.0,1055.4351,1851.5188,570037.5,2583638.0,2.5836
4,2,6,-144.0,-104.0,343.7125,1430.5737,240262.0156,1088963.625,1.089
3,2,7,-138.0,-104.0,586.18,732.8675,799844.5,3625215.25,3.6252
2,2,8,-132.0,-104.0,610.7975,639.7037,954813.125,4327595.0,4.3276
1,2,9,-126.0,-104.0,900.2712,631.4012,1425830.75,6462435.5,6.4624
10,3,1,-180.0,-98.0,559.5325,29.12,19214716.0,87088784.0,87.0888
11,3,2,-174.0,-98.0,330.1688,183.7888,1796458.0,8142266.5,8.1423
12,3,3,-168.0,-98.0,476.4163,324.5487,1467934.5,6653266.5,6.6533
13,3,4,-162.0,-98.0,744.6875,583.9225,1275319.25,5780257.0,5.7803
14,3,5,-156.0,-98.0,659.8063,685.9637,961867.625,4359569.0,4.3596
15,3,6,-150.0,-98.0,1323.3925,641.34,2063480.25,9352518.0,9.3525
16,3,7,-144.0,-98.0,799.3475,401.97,1988575.125,9013018.0,9.013
17,3,8,-138.0,-98.0,943.8438,620.4888,1521129.5,6894367.5,6.8944
18,3,9,-132.0,-98.0,789.3362,301.85,2614995.0,11852204.0,11.8522
19,3,10,-126.0,-98.0,735.1937,204.4175,3596530.5,16300915.0,16.3009
20,3,11,-120.0,-98.0,724.5187,181.1113,4000407.5,18131448.0,18.1314
33,4,1,-186.0,-92.0,438.51,74.5062,5885547.0,26675654.0,26.6757
32,4,2,-180.0,-92.0,484.5875,137.2937,3529567.5,15997412.0,15.9974
31,4,3,-174.0,-92.0,585.2075,130.5825,4481515.5,20312022.0,20.312
30,4,4,-168.0,-92.0,533.9612,163.2225,3271370.5,14827160.0,14.8272
29,4,5,-162.0,-92.0,659.6063,226.2363,2915564.0,13214503.0,13.2145
28,4,6,-156.0,-92.0,703.4025,240.3625,2926423.75,13263723.0,13.2637
27,4,7,-150.0,-92.0,734.7725,368.3625,1994699.75,9040777.0,9.0408
26,4,8,-144.0,-92.0,649.6088,302.0562,2150621.75,9747478.0,9.7475
25,4,9,-138.0,-92.0,735.4838,218.685,3363211.0,15243418.0,15.2434
24,4,10,-132.0,-92.0,787.9625,120.82,6521789.0,29559358.0,29.5594
23,4,11,-126.0,-92.0,593.1613,116.5013,5091458.5,23076528.0,23.0765
22,4,12,-120.0,-92.0,636.405,109.3213,5821421.5,26385012.0,26.385
21,4,13,-114.0,-92.0,831.8137,129.3275,6431839.5,29151670.0,29.1517
34,5,1,-186.0,-86.0,475.2575,45.9062,10352785.0,46922964.0,46.923
35,5,2,-180.0,-86.0,321.9125,98.8175,3257647.0,14764960.0,14.765
36,5,3,-174.0,-86.0,33.5125,154.155,217394.8437,985320.4375,0.9853
37,5,4,-168.0,-86.0,741.2913,123.84,5985879.5,27130402.0,27.1304
38,5,5,-162.0,-86.0,51.945,157.0125,330833.5625,1499470.125,1.4995
39,5,6,-156.0,-86.0,263.52,123.7387,2129648.25,9652418.0,9.6524
40,5,7,-150.0,-86.0,385.9113,79.53,4852398.5,21993012.0,21.993
41,5,8,-144.0,-86.0,343.145,79.91,4294143.5,19462776.0,19.4628
42,5,9,-138.0,-86.0,393.6125,60.89,6464320.5,29298888.0,29.2989
43,5,10,-132.0,-86.0,718.0137,65.0375,11039997.0,50037684.0,50.0377
44,5,11,-126.0,-86.0,536.1738,92.495,5796787.0,26273358.0,26.2734
45,5,12,-120.0,-86.0,652.7587,114.4912,5701386.0,25840962.0,25.841
46,5,13,-114.0,-86.0,917.4425,239.2663,3834400.0,17379036.0,17.379
66,6,1,-192.0,-80.0,542.6788,194.5225,,,
59,6,2,-186.0,-80.0,537.8675,83.7213,6424504.5,29118426.0,29.1184
58,6,3,-180.0,-80.0,529.3638,53.715,9855046.0,44667012.0,44.667
57,6,4,-174.0,-80.0,350.1313,47.2025,7417643.0,33619728.0,33.6197
56,6,5,-168.0,-80.0,133.3788,169.1987,788296.3125,3572874.25,3.5729
55,6,6,-162.0,-80.0,300.5088,43.58,6895565.5,31253462.0,31.2535
54,6,7,-156.0,-80.0,295.1663,41.94,7037823.0,31898230.0,31.8982
53,6,8,-150.0,-80.0,340.9062,45.4362,7502958.0,34006408.0,34.0064
52,6,9,-144.0,-80.0,325.8263,47.8013,6816271.5,30894070.0,30.8941
51,6,10,-138.0,-80.0,348.9688,54.0425,6457303.0,29267080.0,29.2671
50,6,11,-132.0,-80.0,397.4438,79.86,4976756.5,22556652.0,22.5567
49,6,12,-126.0,-80.0,215.4888,107.8363,1998296.125,9057078.0,9.0571
48,6,13,-120.0,-80.0,1409.1238,251.33,5606668.5,25411666.0,25.4117
47,6,14,-114.0,-80.0,1257.9237,671.9925,1871931.25,8484341.0,8.4843
52,6,15,-108.0,-80.0,1136.7712,329.2312,,,
67,7,1,-192.0,-74.0,1069.7476,166.5363,,,
60,7,2,-186.0,-74.0,294.4,52.245,5634989.0,25540024.0,25.54
61,7,3,-180.0,-74.0,309.2188,42.4625,7282160.5,33005666.0,33.0057
62,7,4,-174.0,-74.0,308.2288,35.8675,8593539.0,38949356.0,38.9494
63,7,5,-168.0,-74.0,341.6762,35.28,9684702.0,43894944.0,43.8949
64,7,6,-162.0,-74.0,339.5325,36.5875,9280014.0,42060736.0,42.0607
65,7,7,-156.0,-74.0,513.5837,22.745,22580074.0,102341928.0,102.3419
66,7,8,-150.0,-74.0,282.36,44.835,6297758.5,28543962.0,28.544
67,7,9,-144.0,-74.0,305.5338,55.4437,5510698.0,24976688.0,24.9767
68,7,10,-138.0,-74.0,273.1013,74.91,3645725.25,16523886.0,16.5239
