Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,1,1,-162.0,-110.0,797.1700,13.1775,60494796.0000,274186624.0000,274.1866
2,1,2,-156.0,-110.0,929.9000,14.4138,64514788.0000,292406848.0000,292.4068
3,1,3,-150.0,-110.0,1134.0850,10.1775,111430632.0000,505048224.0000,505.0482
4,1,4,-144.0,-110.0,495.0025,248.1225,1994992.6250,9042105.0000,9.0421
5,1,5,-138.0,-110.0,149.6475,749.8750,199563.2812,904500.6250,0.9045
6,2,9,-126.0,-104.0,56.2125,727.7888,77237.3906,350070.7500,0.3501
7,2,8,-132.0,-104.0,130.9500,715.8113,182939.2812,829154.0000,0.8292
8,2,7,-138.0,-104.0,434.3475,672.0363,646315.6250,2929361.0000,2.9294
9,2,6,-144.0,-104.0,408.7125,102.1637,4000563.0000,18132152.0000,18.1322
10,2,5,-150.0,-104.0,967.9050,22.4162,43178728.0000,195703280.0000,195.7033
11,2,4,-156.0,-104.0,297.2075,11.9938,24780194.0000,112313752.0000,112.3138
12,2,3,-162.0,-104.0,786.3050,8.7250,90120936.0000,408464128.0000,408.4641
13,2,2,-168.0,-104.0,971.4325,8.5400,113750880.0000,515564512.0000,515.5645
14,2,1,-174.0,-104.0,21.8725,8.3038,2634051.0000,11938573.0000,11.9386
15,3,1,-180.0,-98.0,24.0475,8.3900,2866210.2500,12990812.0000,12.9908
16,3,2,-174.0,-98.0,569.8075,8.3663,68107880.0000,308692160.0000,308.6922
17,3,3,-168.0,-98.0,408.4175,8.4150,48534464.0000,219977616.0000,219.9776
18,3,4,-162.0,-98.0,490.0850,8.6225,56837940.0000,257612288.0000,257.6123
19,3,5,-156.0,-98.0,576.5775,8.6100,66966028.0000,303516832.0000,303.5168
20,3,6,-150.0,-98.0,780.4325,10.6625,73194152.0000,331745184.0000,331.7452
21,3,7,-144.0,-98.0,867.8100,207.0063,4192192.0000,19000692.0000,19.0007
22,3,8,-138.0,-98.0,616.5850,597.7288,1031546.5625,4675382.0000,4.6754
23,3,9,-132.0,-98.0,13.4200,655.2863,20479.5996,92821.7421,0.0928
24,3,10,-126.0,-98.0,124.6800,737.7762,168994.3437,765950.0000,0.7660
25,3,11,-120.0,-98.0,46.2950,694.9738,66614.0234,301921.4062,0.3019
26,4,13,-114.0,-92.0,20.8050,147.5600,140993.5000,639038.9375,0.6390
27,4,12,-120.0,-92.0,554.4675,323.4850,1714044.2500,7768734.5000,7.7687
28,4,11,-126.0,-92.0,274.3975,663.6163,413488.1875,1874093.8750,1.8741
29,4,10,-132.0,-92.0,276.1150,662.9213,416512.5312,1887801.5000,1.8878
30,4,9,-138.0,-92.0,600.7075,563.4088,1066202.0000,4832454.0000,4.8325
31,4,8,-144.0,-92.0,938.4175,253.7912,3697596.5000,16758987.0000,16.7590
32,4,7,-150.0,-92.0,714.5250,17.9038,39909236.0000,180884624.0000,180.8846
33,4,6,-156.0,-92.0,645.6725,22.9775,28100206.0000,127361376.0000,127.3614
34,4,5,-162.0,-92.0,370.9250,8.4838,43721824.0000,198164800.0000,198.1648
35,4,4,-168.0,-92.0,217.7625,8.5263,25540236.0000,115758568.0000,115.7586
36,4,3,-174.0,-92.0,266.0925,8.5450,31140148.0000,141139616.0000,141.1396
37,4,2,-180.0,-92.0,381.8800,8.5563,44631696.0000,202288704.0000,202.2887
38,4,1,-186.0,-92.0,26.4850,8.8763,2983805.0000,13523798.0000,13.5238
39,5,1,-186.0,-86.0,254.7775,8.5938,29646836.0000,134371328.0000,134.3713
40,5,2,-180.0,-86.0,424.6575,8.5925,49421892.0000,223999792.0000,223.9998
41,5,3,-174.0,-86.0,158.1975,8.6588,18270242.0000,82808048.0000,82.8080
42,5,4,-168.0,-86.0,238.4500,8.6588,27538608.0000,124815992.0000,124.8160
43,5,5,-162.0,-86.0,165.1375,8.6438,19104838.0000,86590768.0000,86.5908
44,5,6,-156.0,-86.0,544.0275,9.1100,59717620.0000,270664160.0000,270.6642
