Node_ID,Row,Col,X_mm,Y_mm,FZ_450nm,FY_555nm,FXL_600nm,NIR_855nm,VIS_1,FD_1,F2_425nm,F3_475nm,F4_515nm,F6_640nm,VIS_2,FD_2,F1_405nm,F7_690nm,F8_745nm,F5_550nm,VIS_3,FD_3
1,1,1,-196.00,-122.00,42.0,199.0,240.0,34.0,226.0,999.0,34.0,46.0,81.0,219.0,226.0,999.0,27.0,100.0,29.0,58.0,226.0,999.0
2,1,2,-188.86,-122.00,41.0,196.0,236.0,31.0,222.0,999.0,33.0,44.0,79.0,213.0,222.0,999.0,26.0,97.0,27.0,56.0,222.0,999.0
3,1,3,-181.71,-122.00,39.0,192.0,232.0,31.0,217.0,999.0,31.0,43.0,77.0,208.0,216.0,999.0,24.0,93.0,26.0,54.0,217.0,999.0
4,1,4,-174.57,-122.00,37.0,181.0,218.0,28.0,206.0,999.0,28.0,39.0,72.0,195.0,205.0,999.0,22.0,87.0,23.0,50.0,205.0,999.0
5,1,5,-167.43,-122.00,27.0,144.0,177.0,16.0,165.0,999.0,17.0,28.0,54.0,157.0,165.0,999.0,12.0,66.0,14.0,36.0,165.0,999.0
6,1,6,-160.29,-122.00,18.0,110.0,139.0,8.0,130.0,999.0,9.0,19.0,39.0,124.0,129.0,999.0,5.0,50.0,8.0,24.0,129.0,999.0
7,1,7,-153.14,-122.00,55.0,242.0,279.0,52.0,268.0,999.0,51.0,59.0,102.0,237.0,268.0,999.0,42.0,106.0,40.0,78.0,268.0,999.0
8,1,8,-146.00,-122.00,66.0,277.0,315.0,65.0,304.0,999.0,64.0,71.0,120.0,267.0,304.0,999.0,53.0,122.0,50.0,93.0,304.0,999.0
9,1,9,-138.86,-122.00,23.0,132.0,164.0,14.0,154.0,999.0,15.0,24.0,49.0,143.0,154.0,999.0,10.0,59.0,12.0,32.0,154.0,999.0
10,1,10,-131.71,-122.00,26.0,142.0,175.0,17.0,164.0,999.0,17.0,28.0,54.0,156.0,164.0,999.0,12.0,66.0,15.0,36.0,164.0,999.0
11,1,11,-124.57,-122.00,47.0,221.0,265.0,41.0,242.0,999.0,41.0,52.0,92.0,241.0,242.0,999.0,33.0,112.0,34.0,67.0,241.0,999.0
12,1,12,-117.43,-122.00,62.0,276.0,327.0,59.0,300.0,999.0,59.0,68.0,116.0,302.0,300.0,999.0,49.0,146.0,49.0,89.0,299.0,999.0
13,1,13,-110.29,-122.00,75.0,327.0,384.0,76.0,356.0,999.0,75.0,85.0,141.0,353.0,356.0,999.0,64.0,172.0,62.0,110.0,357.0,999.0
14,1,14,-103.14,-122.00,60.0,270.0,322.0,57.0,302.0,999.0,56.0,67.0,114.0,294.0,302.0,999.0,47.0,141.0,47.0,86.0,302.0,999.0
15,1,15,-96.00,-122.00,45.0,209.0,253.0,38.0,238.0,999.0,38.0,50.0,86.0,235.0,238.0,999.0,31.0,110.0,32.0,62.0,238.0,999.0
16,2,1,-196.00,-114.86,41.0,197.0,238.0,32.0,224.0,999.0,33.0,45.0,80.0,215.0,224.0,999.0,26.0,97.0,28.0,57.0,223.0,999.0
17,2,2,-188.86,-114.86,39.0,191.0,230.0,30.0,217.0,999.0,31.0,42.0,77.0,207.0,217.0,999.0,24.0,92.0,25.0,54.0,217.0,999.0
