Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A3_mV,R_Ohms,Rs_Ohm_sq
1,1,1,-186.0,-86.0,0.0419,0.0000,0.0004,0.0019
2,1,2,-177.1,-86.0,0.0459,0.0000,0.0005,0.0021
3,1,3,-168.2,-86.0,0.0513,0.0000,0.0005,0.0023
4,1,4,-159.3,-86.0,0.0525,0.0000,0.0005,0.0024
5,1,5,-150.4,-86.0,0.0491,0.0000,0.0005,0.0022
6,1,6,-141.6,-86.0,0.0558,0.0000,0.0006,0.0025
7,1,7,-132.7,-86.0,0.0552,0.0000,0.0006,0.0025
8,1,8,-123.8,-86.0,0.0611,0.0000,0.0006,0.0028
9,1,9,-114.9,-86.0,0.0572,0.0000,0.0006,0.0026
10,1,10,-106.0,-86.0,0.0586,0.0000,0.0006,0.0027
11,2,1,-186.0,-77.1,0.0480,0.0000,0.0005,0.0022
12,2,2,-177.1,-77.1,0.0475,0.0000,0.0005,0.0022
13,2,3,-168.2,-77.1,0.0509,0.0000,0.0005,0.0023
14,2,4,-159.3,-77.1,0.0497,0.0000,0.0005,0.0023
15,2,5,-150.4,-77.1,0.0495,0.0000,0.0005,0.0022
16,2,6,-141.6,-77.1,0.0519,0.0000,0.0005,0.0024
17,2,7,-132.7,-77.1,0.0508,0.0000,0.0005,0.0023
18,2,8,-123.8,-77.1,0.0530,0.0000,0.0005,0.0024
19,2,9,-114.9,-77.1,0.0542,0.0000,0.0005,0.0025
20,2,10,-106.0,-77.1,0.0584,0.0000,0.0006,0.0026
21,3,1,-186.0,-68.2,0.0538,0.0000,0.0005,0.0024
22,3,2,-177.1,-68.2,0.0525,0.0000,0.0005,0.0024
23,3,3,-168.2,-68.2,0.0548,0.0000,0.0005,0.0025
24,3,4,-159.3,-68.2,0.0481,0.0000,0.0005,0.0022
25,3,5,-150.4,-68.2,0.0494,0.0000,0.0005,0.0022
26,3,6,-141.6,-68.2,0.0530,0.0000,0.0005,0.0024
27,3,7,-132.7,-68.2,0.0487,0.0000,0.0005,0.0022
28,3,8,-123.8,-68.2,0.0475,0.0000,0.0005,0.0022
29,3,9,-114.9,-68.2,0.0541,0.0000,0.0005,0.0025
30,3,10,-106.0,-68.2,0.0584,0.0000,0.0006,0.0026
31,4,1,-186.0,-59.3,0.0575,0.0000,0.0006,0.0026
32,4,2,-177.1,-59.3,0.0589,0.0000,0.0006,0.0027
33,4,3,-168.2,-59.3,0.0556,0.0000,0.0006,0.0025
34,4,4,-159.3,-59.3,0.0527,0.0000,0.0005,0.0024
35,4,5,-150.4,-59.3,0.0550,0.0000,0.0005,0.0025
36,4,6,-141.6,-59.3,0.0573,0.0000,0.0006,0.0026
37,4,7,-132.7,-59.3,0.0570,0.0000,0.0006,0.0026
38,4,8,-123.8,-59.3,0.0589,0.0000,0.0006,0.0027
39,4,9,-114.9,-59.3,0.0547,0.0000,0.0005,0.0025
40,4,10,-106.0,-59.3,0.0583,0.0000,0.0006,0.0026
41,5,1,-186.0,-50.4,0.0575,0.0000,0.0006,0.0026
42,5,2,-177.1,-50.4,0.0516,0.0000,0.0005,0.0023
43,5,3,-168.2,-50.4,0.0539,0.0000,0.0005,0.0024
44,5,4,-159.3,-50.4,0.0519,0.0000,0.0005,0.0024
