Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A3_mV,R_Ohms,Rs_Ohm_sq
1,1,1,-186.0,-86.0,1509.1787,-177.9300,848.1868,3844.3217
2,1,2,-177.1,-86.0,594.3450,-199.6625,297.6748,1349.1812
3,1,3,-168.2,-86.0,533.8613,-127.9113,417.3685,1891.6810
4,1,4,-159.3,-86.0,1089.5825,-172.1475,632.9354,2868.7163
5,1,5,-150.4,-86.0,312.0038,-249.0050,125.3002,567.9107
6,1,6,-141.6,-86.0,427.1125,-219.3075,194.7551,882.7080
7,1,7,-132.7,-86.0,624.2025,-108.4375,575.6334,2609.0009
8,1,8,-123.8,-86.0,993.6400,-123.1963,806.5505,3655.6093
9,1,9,-114.9,-86.0,524.7475,-105.8750,495.6293,2246.3901
10,1,10,-106.0,-86.0,1871.2437,-14.6512,12771.9062,57887.3906
11,2,1,-186.0,-77.1,389.0925,-92.0175,422.8462,1916.5081
12,2,2,-177.1,-77.1,496.7475,-220.8987,224.8757,1019.2265
13,2,3,-168.2,-77.1,289.3575,-94.3775,306.5959,1389.6151
14,2,4,-159.3,-77.1,327.9438,-140.0838,234.1055,1061.0596
15,2,5,-150.4,-77.1,592.4387,-273.7250,216.4357,980.9733
16,2,6,-141.6,-77.1,372.5500,-104.2675,357.3021,1619.4361
17,2,7,-132.7,-77.1,267.0175,-105.8750,252.2007,1143.0744
18,2,8,-123.8,-77.1,1243.5637,-109.3275,1137.4665,5155.4536
19,2,9,-114.9,-77.1,654.8688,-108.4325,603.9414,2737.3037
20,2,10,-106.0,-77.1,708.9675,-104.2925,679.7877,3081.0695
21,3,1,-186.0,-68.2,629.8200,-122.5625,513.8766,2329.0942
22,3,2,-177.1,-68.2,514.1300,-178.7362,287.6473,1303.7325
23,3,3,-168.2,-68.2,695.3187,-240.4012,289.2326,1310.9177
24,3,4,-159.3,-68.2,656.4138,-288.2475,227.7257,1032.1442
25,3,5,-150.4,-68.2,590.5062,-293.9788,200.8670,910.4095
26,3,6,-141.6,-68.2,311.0300,-109.6938,283.5440,1285.1346
27,3,7,-132.7,-68.2,393.4175,-105.6538,372.3649,1687.7069
28,3,8,-123.8,-68.2,855.5213,-104.4850,818.7982,3711.1208
29,3,9,-114.9,-68.2,1014.4025,-104.3125,972.4650,4407.6000
30,3,10,-106.0,-68.2,719.9175,-108.8513,661.3773,2997.6267
31,4,1,-186.0,-59.3,29.6475,-33.5075,88.4802,401.0277
32,4,2,-177.1,-59.3,255.8475,-49.9650,512.0535,2320.8312
33,4,3,-168.2,-59.3,508.7338,-131.1313,387.9577,1758.3793
34,4,4,-159.3,-59.3,374.3775,-109.7075,341.2506,1546.6843
35,4,5,-150.4,-59.3,467.7438,-199.5025,234.4551,1062.6442
36,4,6,-141.6,-59.3,377.0588,-102.6563,367.3023,1664.7609
37,4,7,-132.7,-59.3,514.4750,-106.2975,483.9953,2193.6604
38,4,8,-123.8,-59.3,718.0950,-283.3638,253.4181,1148.5921
39,4,9,-114.9,-59.3,1025.0400,-104.8138,977.9633,4432.5209
40,4,10,-106.0,-59.3,747.6287,-106.2800,703.4520,3188.3256
41,5,1,-186.0,-50.4,289.0313,-193.4862,149.3808,677.0534
42,5,2,-177.1,-50.4,771.3663,-90.5138,852.2090,3862.5520
43,5,3,-168.2,-50.4,310.0963,-121.2888,255.6678,1158.7886
44,5,4,-159.3,-50.4,291.8063,-110.3500,264.4370,1198.5343
45,5,5,-150.4,-50.4,532.4688,-157.2762,338.5564,1534.4729
46,5,6,-141.6,-50.4,150.5712,-225.2337,66.8511,302.9960
47,5,7,-132.7,-50.4,431.7013,-103.5025,417.0926,1890.4305
48,5,8,-123.8,-50.4,989.8900,-117.1338,845.0938,3830.3029
49,5,9,-114.9,-50.4,1274.8662,-294.1675,433.3810,1964.2561
50,5,10,-106.0,-50.4,1046.8562,-293.2938,356.9309,1617.7537
51,6,1,-186.0,-41.6,299.5225,-151.4825,197.7275,896.1800
52,6,2,-177.1,-41.6,1265.5612,-112.4438,1125.5061,5101.2441
53,6,3,-168.2,-41.6,352.3413,-73.3963,480.0535,2175.7944
54,6,4,-159.3,-41.6,866.5463,-107.7825,803.9768,3643.9443
55,6,5,-150.4,-41.6,1173.0999,-215.7375,543.7626,2464.5498
56,6,6,-141.6,-41.6,365.6112,-107.7125,339.4325,1538.4438
57,6,7,-132.7,-41.6,164.8425,-277.9750,59.3012,268.7767
58,6,8,-123.8,-41.6,1368.7362,-289.7975,472.3078,2140.6879
59,6,9,-114.9,-41.6,305.4638,-42.3838,720.7095,3266.5439
60,6,10,-106.0,-41.6,600.5550,-142.3725,421.8195,1911.8548
61,7,1,-186.0,-32.7,1344.8237,-150.8300,891.6155,4041.1582
62,7,2,-177.1,-32.7,571.1175,-129.3675,441.4691,2000.9145
63,7,3,-168.2,-32.7,653.4750,-69.1263,945.3355,4284.6386
64,7,4,-159.3,-32.7,1160.9875,-128.4687,903.7120,4095.9846
65,7,5,-150.4,-32.7,591.7325,-151.0250,391.8110,1775.8439
66,7,6,-141.6,-32.7,229.4750,-231.3400,99.1938,449.5862
67,7,7,-132.7,-32.7,197.3450,-102.5688,192.4027,872.0458
68,7,8,-123.8,-32.7,1237.1624,-109.5450,1129.3647,5118.7329
69,7,9,-114.9,-32.7,863.9487,-103.7475,832.7418,3774.3188
70,7,10,-106.0,-32.7,658.8200,-104.7063,629.2079,2851.8220
71,8,1,-186.0,-23.8,1160.0899,-135.3737,856.9534,3884.0559
72,8,2,-177.1,-23.8,455.2950,-121.7575,373.9359,1694.8271
73,8,3,-168.2,-23.8,760.3038,-141.0337,539.0935,2443.3872
74,8,4,-159.3,-23.8,467.6850,-153.1625,305.3522,1383.9781
75,8,5,-150.4,-23.8,705.0513,-111.9337,629.8827,2854.8803
76,8,6,-141.6,-23.8,255.0462,-287.3588,88.7553,402.2747
77,8,7,-132.7,-23.8,403.8600,-104.2025,387.5723,1756.6325
78,8,8,-123.8,-23.8,1217.5550,-292.4688,416.3027,1886.8500
79,8,9,-114.9,-23.8,773.3350,-102.2088,756.6232,3429.3188
80,8,10,-106.0,-23.8,460.6038,-126.0800,365.3266,1655.8062
81,9,1,-186.0,-14.9,1707.1125,-84.0938,2030.0112,9200.8232
82,9,2,-177.1,-14.9,1528.4387,-156.1788,978.6470,4435.6196
83,9,3,-168.2,-14.9,338.5263,-182.8562,185.1324,839.0943
84,9,4,-159.3,-14.9,331.1075,-101.6913,325.6008,1475.7529
85,9,5,-150.4,-14.9,670.7963,-124.7462,537.7286,2437.2011
86,9,6,-141.6,-14.9,493.7963,-123.0988,401.1383,1818.1195
87,9,7,-132.7,-14.9,234.2362,-105.8750,221.2385,1002.7413
88,9,8,-123.8,-14.9,958.9550,-103.9638,922.3936,4180.6567
89,9,9,-114.9,-14.9,556.4638,-103.4813,537.7436,2437.2690
90,9,10,-106.0,-14.9,524.4825,-113.6050,461.6720,2092.4821
91,10,1,-186.0,-6.0,1714.3349,-32.1875,5326.0888,24139.9667
92,10,2,-177.1,-6.0,1310.3974,-50.6813,2585.5664,11718.8212
93,10,3,-168.2,-6.0,528.5850,-60.3937,875.2313,3966.8986
94,10,4,-159.3,-6.0,385.8213,-90.9063,424.4167,1923.6260
95,10,5,-150.4,-6.0,801.2675,-132.1075,606.5269,2749.0227
