Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A3_mV,R_Ohms,Rs_Ohm_sq
1,1,1,-186.0,-86.0,1092.7862,-10.5587,10349.5791,46908.4335
2,1,2,-177.1,-86.0,726.1887,-10.6138,6841.9614,31010.5078
3,1,3,-168.2,-86.0,897.3925,-161.3137,556.3026,2521.3857
4,1,4,-159.3,-86.0,752.1688,-241.3513,311.6490,1412.5180
5,1,5,-150.4,-86.0,495.8200,-125.1075,396.3152,1796.2589
6,1,6,-141.6,-86.0,774.5275,-209.3275,370.0075,1677.0222
7,1,7,-132.7,-86.0,618.2025,-237.0625,260.7762,1181.9420
8,1,8,-123.8,-86.0,870.2775,-73.7113,1180.6575,5351.2124
9,1,9,-114.9,-86.0,1741.3461,-10.4675,16635.7421,75399.8437
10,1,10,-106.0,-86.0,660.4000,-10.5862,6238.2807,28274.3847
11,2,1,-186.0,-77.1,1314.5913,-10.5237,12491.6611,56617.2070
12,2,2,-177.1,-77.1,1316.9787,-10.5200,12518.8085,56740.2500
13,2,3,-168.2,-77.1,158.5875,-27.2725,581.4924,2635.5561
14,2,4,-159.3,-77.1,910.9313,-216.8312,420.1107,1904.1097
15,2,5,-150.4,-77.1,990.1663,-292.0000,339.0980,1536.9279
16,2,6,-141.6,-77.1,536.6238,-292.1813,183.6613,832.4264
17,2,7,-132.7,-77.1,1203.7537,-287.4375,418.7880,1898.1147
18,2,8,-123.8,-77.1,1982.4250,-44.8162,4423.4516,20048.8535
19,2,9,-114.9,-77.1,859.5988,-10.5787,8125.7124,36828.9804
20,2,10,-106.0,-77.1,924.2138,-10.5737,8740.6435,39616.0937
21,3,1,-186.0,-68.2,885.6863,-146.1175,606.1466,2747.2990
22,3,2,-177.1,-68.2,1301.0712,-10.5400,12344.1298,55948.5351
23,3,3,-168.2,-68.2,1316.5637,-10.5500,12479.2763,56561.0742
24,3,4,-159.3,-68.2,1321.6800,-10.5600,12515.9091,56727.1093
25,3,5,-150.4,-68.2,1318.0913,-10.5587,12483.4023,56579.7734
26,3,6,-141.6,-68.2,1324.9687,-10.5513,12557.4570,56915.4179
27,3,7,-132.7,-68.2,1326.8449,-10.5562,12569.2841,56969.0234
28,3,8,-123.8,-68.2,995.6937,-10.5712,9418.8828,42690.1445
29,3,9,-114.9,-68.2,444.5025,-10.7987,4116.2402,18656.4472
30,3,10,-106.0,-68.2,1807.6762,-28.1675,6417.5961,29087.1132
31,4,1,-186.0,-59.3,450.6338,-28.3700,1588.4163,7199.3383
32,4,2,-177.1,-59.3,1327.6674,-10.5325,12605.4345,57132.8750
33,4,3,-168.2,-59.3,1318.2425,-10.5037,12550.2089,56882.5703
34,4,4,-159.3,-59.3,1320.6312,-10.5350,12535.6552,56816.6054
35,4,5,-150.4,-59.3,1325.6574,-10.5312,12587.8457,57053.1523
