Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,1,1,-162,-110,1000.0938,755.0112,1324608,6003653.5,6.0037
2,1,2,-156,-110,1140.8113,1925.5725,592453.0625,2685234.25,2.6852
3,1,3,-150,-110,1117.6425,1452.475,769474.5625,3487566.5,3.4876
4,1,4,-144,-110,1085.0062,1401.04,774429.125,3510022.75,3.51
5,1,5,-138,-110,1039.9825,1595.9537,651637.0625,2953480,2.9535
6,2,9,-126,-104,927.1613,1199.2788,773099,3503994,3.504
7,2,8,-132,-104,1060.2125,766.8513,1382553.125,6266284,6.2663
8,2,7,-138,-104,931.3038,1954.2125,476562.1562,2159970.5,2.16
9,2,6,-144,-104,978.5488,2001.345,488945.625,2216097.25,2.2161
10,2,5,-150,-104,727.5125,2047.9375,355241.5937,1610097,1.6101
11,2,4,-156,-104,848.4825,2045.4137,414821.9687,1880139.125,1.8801
12,2,3,-162,-104,743.1462,614.7,1208957.625,5479479.5,5.4795
13,2,2,-168,-104,434.6437,343.745,1264436.5,5730932,5.7309
14,2,1,-174,-104,2047.9375,-73.19,nan,nan,nan
15,3,1,-180,-98,2047.9375,-77.3975,nan,nan,nan
16,3,2,-174,-98,227.1113,767.01,296099.4687,1342041.25,1.342
17,3,3,-168,-98,463.84,275.9138,1681105.125,7619441,7.6194
18,3,4,-162,-98,660.9688,744.2562,888093.125,4025193.5,4.0252
19,3,5,-156,-98,657.185,1912.0713,343703.1875,1557800.375,1.5578
20,3,6,-150,-98,1071.7037,2047.9375,523308.8437,2371845,2.3718
21,3,7,-144,-98,563.0237,216.8038,2596928,11770317,11.7703
22,3,8,-138,-98,803.605,801.6987,1002377.813,4543177.5,4.5432
23,3,9,-132,-98,683.0363,643.7925,1060957.125,4808682,4.8087
24,3,10,-126,-98,750.005,266.6038,2813182.5,12750469,12.7505
25,3,11,-120,-98,639.8563,162.8587,3928903.25,17807362,17.8074
26,4,13,-114,-92,859.0538,53.8162,15962721,72349440,72.3494
27,4,12,-120,-92,1606.4888,24.515,65530852,297012032,297.012
28,4,11,-126,-92,768.125,42.7262,17977826,81482704,81.4827
29,4,10,-132,-92,97.0462,159.1725,609692.375,2763369.75,2.7634
30,4,9,-138,-92,1055.9062,437.0525,2415971.5,10950150,10.9502
31,4,8,-144,-92,633.5737,405.1975,1563617.125,7086938.5,7.0869
32,4,7,-150,-92,208.2038,1245.4788,167167.6562,757670.6875,0.7577
33,4,6,-156,-92,686.93,1110.9237,618341.3125,2802570.25,2.8026
34,4,5,-162,-92,361.7487,192.4725,1879482.875,8518568,8.5186
35,4,4,-168,-92,335.2412,142.015,2360604.5,10699204,10.6992
36,4,3,-174,-92,383.1437,124.9112,3067327.75,13902357,13.9024
37,4,2,-180,-92,420.9075,31.53,13349430,60504960,60.505
38,4,1,-186,-92,347.5787,2042.5074,170172.5781,771290.1875,0.7713
39,5,1,-186,-86,816.7775,-7.9225,103095944,467272064,467.2721
40,5,2,-180,-86,448.1338,41.3512,10837248,49118744,49.1187
41,5,3,-174,-86,631.055,64.1525,9836796,44584296,44.5843
42,5,4,-168,-86,734.22,323.6913,2268272.75,10280720,10.2807
43,5,5,-162,-86,467.0975,18.2525,25590876,115988088,115.9881
44,5,6,-156,-86,445.1875,66.9713,6647442.5,30128870,30.1289
45,5,7,-150,-86,1071.605,131.5587,8145449,36918436,36.9184
46,5,8,-144,-86,864.5137,113.585,7611161,34496828,34.4968
47,5,9,-138,-86,919.4813,180.0388,5107130,23147556,23.1476
