Node_ID,Row,Col,X_mm,Y_mm,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,1,1,-162,-110,1000.0938,858.0112,,,
2,1,2,-156,-110,1140.8113,2028.5725,,,
3,1,3,-150,-110,1117.6425,1555.475,,,
4,1,4,-144,-110,1085.0062,1504.04,,,
5,1,5,-138,-110,1039.9825,1698.9537,,,
6,2,9,-126,-104,927.1613,1302.2788,,,
7,2,8,-132,-104,1060.2125,869.8513,,,
8,2,7,-138,-104,931.3038,2057.2125,,,
9,2,6,-144,-104,978.5488,2104.345,,,
10,2,5,-150,-104,727.5125,2150.9375,,,
11,2,4,-156,-104,848.4825,2148.4137,,,
12,2,3,-162,-104,743.1462,717.7,,,
13,2,2,-168,-104,434.6437,446.745,,,
14,2,1,-174,-104,2047.9375,29.81,,,
15,3,1,-180,-98,2047.9375,25.6025,,,
16,3,2,-174,-98,227.1113,870.01,,,
17,3,3,-168,-98,463.84,378.9138,,,
18,3,4,-162,-98,660.9688,847.2562,,,
19,3,5,-156,-98,657.185,2015.0713,,,
20,3,6,-150,-98,1071.7037,2150.9375,,,
21,3,7,-144,-98,563.0237,319.8038,,,
22,3,8,-138,-98,803.605,904.6987,,,
23,3,9,-132,-98,683.0363,746.7925,,,
24,3,10,-126,-98,750.005,369.6038,,,
25,3,11,-120,-98,639.8563,265.8587,,,
26,4,13,-114,-92,859.0538,156.8162,,,
27,4,12,-120,-92,1606.4888,127.515,,,
28,4,11,-126,-92,768.125,145.7262,,,
29,4,10,-132,-92,97.0462,262.1725,,,
30,4,9,-138,-92,1055.9062,540.0525,,,
31,4,8,-144,-92,633.5737,508.1975,,,
32,4,7,-150,-92,208.2038,1348.4788,,,
33,4,6,-156,-92,686.93,1213.9237,,,
34,4,5,-162,-92,361.7487,295.4725,,,
35,4,4,-168,-92,335.2412,245.015,,,
36,4,3,-174,-92,383.1437,227.9112,,,
37,4,2,-180,-92,420.9075,134.53,,,
38,4,1,-186,-92,347.5787,2145.5074,,,
39,5,1,-186,-86,816.7775,95.0775,,,
40,5,2,-180,-86,448.1338,144.3512,,,
41,5,3,-174,-86,631.055,167.1525,,,
42,5,4,-168,-86,734.22,426.6913,,,
43,5,5,-162,-86,467.0975,121.2525,,,
44,5,6,-156,-86,445.1875,169.9713,,,
45,5,7,-150,-86,1071.605,234.5587,,,
46,5,8,-144,-86,864.5137,216.585,,,
47,5,9,-138,-86,919.4813,283.0388,,,
48,5,10,-132,-86,935.18,60.625,,,
49,5,11,-126,-86,925.765,51.1287,,,
50,5,12,-120,-86,1107.4,119.2275,,,
51,5,13,-114,-86,1184.6763,156.3875,,,
52,6,15,-108,-80,1136.7712,329.2312,,,
53,6,14,-114,-80,7.3338,179.3925,,,
54,6,13,-120,-80,1453.2688,226.24,,,
55,6,12,-126,-80,795.9913,59.8838,,,
56,6,11,-132,-80,1131.4237,47.2388,,,
57,6,10,-138,-80,905.7,48.1275,,,
58,6,9,-144,-80,1202.8125,52.1675,,,
59,6,8,-150,-80,1142.5325,70.75,,,
60,6,7,-156,-80,1124.7476,65.725,,,
61,6,6,-162,-80,1205.3762,56.3625,,,
62,6,5,-168,-80,711.8738,69.7825,,,
63,6,4,-174,-80,765.7838,54.35,,,
64,6,3,-180,-80,505.47,50.0475,,,
65,6,2,-186,-80,343.2662,88.7312,,,
66,6,1,-192,-80,542.6788,194.5225,,,
67,7,1,-192,-74,1069.7476,166.5363,,,
68,7,2,-186,-74,438.45,82.5487,,,
69,7,3,-180,-74,858.0162,15.0938,,,
70,7,4,-174,-74,1163.0875,-24.6963,,,
71,7,5,-168,-74,1534.4788,-15.08,,,
72,7,6,-162,-74,1312.5587,52.2762,,,
73,7,7,-156,-74,2000.1412,46.775,,,
74,7,8,-150,-74,622.815,2150.9375,,,
75,7,9,-144,-74,941.4062,54.5588,,,
76,7,10,-138,-74,753.155,74.35,,,
77,7,11,-132,-74,842.2812,106.1675,,,
78,7,12,-126,-74,1074.5074,148.8362,,,
79,7,13,-120,-74,982.77,52.6975,,,
80,7,14,-114,-74,768.3013,213.7213,,,
81,7,15,-108,-74,1450.0363,111.5712,,,
82,8,15,-108,-68,893.7188,70.9525,,,
83,8,14,-114,-68,531.5413,91.465,,,
84,8,13,-120,-68,365.5688,154.9375,,,
85,8,12,-126,-68,1100.77,174.7113,,,
86,8,11,-132,-68,1086.3375,80.54,,,
87,8,10,-138,-68,863.1125,90.4125,,,
88,8,9,-144,-68,872.8912,96.7375,,,
89,8,8,-150,-68,938.105,54.4562,,,
90,8,7,-156,-68,1800.2825,43.9087,,,
91,8,6,-162,-68,1462.7688,25.7887,,,
92,8,5,-168,-68,1903.3337,8.9688,,,
93,8,4,-174,-68,1544.36,-0.3438,,,
94,8,3,-180,-68,948.5925,23.2787,,,
95,8,2,-186,-68,462.8412,62.0863,,,
96,8,1,-192,-68,786.1937,80.5487,,,
97,9,1,-192,-62,597.1875,51.3,,,
98,9,2,-186,-62,1346.385,29.3138,,,
99,9,3,-180,-62,1560.275,50.9738,,,
100,9,4,-174,-62,1833.1713,35.2775,,,
101,9,5,-168,-62,1841.2574,29.4725,,,
102,9,6,-162,-62,1005.8762,31.6562,,,
103,9,7,-156,-62,1093.1438,41.65,,,
104,9,8,-150,-62,1114.6324,125.1313,,,
105,9,9,-144,-62,1120.4725,74.5463,,,
106,9,10,-138,-62,782.3362,81.0225,,,
107,9,11,-132,-62,998.8575,61.6875,,,
108,9,12,-126,-62,1094.1375,69.515,,,
109,9,13,-120,-62,1120.1162,74.1887,,,
110,9,14,-114,-62,1119.8213,103.9225,,,
111,9,15,-108,-62,844.3237,60.135,,,
112,10,15,-108,-56,1244.1763,66.4225,,,
113,10,14,-114,-56,975.79,83.8675,,,
114,10,13,-120,-56,818.77,80.1913,,,
115,10,12,-126,-56,943.2075,57.75,,,
116,10,11,-132,-56,1232.6987,45.4825,,,
117,10,10,-138,-56,1315.475,38.385,,,
118,10,9,-144,-56,1270.2013,41.85,,,
119,10,8,-150,-56,1067.77,43.8288,,,
120,10,7,-156,-56,1270.5737,21.0038,,,
121,10,6,-162,-56,1452.7325,8.7562,,,
122,10,5,-168,-56,1444.125,-6.2662,,,
123,10,4,-174,-56,2047.9375,12.3487,,,
124,10,3,-180,-56,1915.8488,35.0713,,,
125,10,2,-186,-56,1146.1851,24.1137,,,
126,10,1,-192,-56,970.675,50.505,,,
127,11,1,-186,-50,1891.61,45.8763,,,
128,11,2,-180,-50,1055.775,45.455,,,
129,11,3,-174,-50,2047.9375,42.5775,,,
130,11,4,-168,-50,2047.9375,63.87,,,
131,11,5,-162,-50,1699.3525,36.3025,,,
132,11,6,-156,-50,1593.9025,30.7338,,,
133,11,7,-150,-50,1711.3888,34.8688,,,
134,11,8,-144,-50,1596.1438,32.1813,,,
135,11,9,-138,-50,1869.01,39.4188,,,
