Site_ID,Row,Col,X_mm,Y_mm,Sample_Num,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
1,6,10,-138.0,-80.0,1,1410.0437,39.4412,35750484.0000,162035504.0000,162.0355
1,6,10,-138.0,-80.0,2,1374.2887,39.7725,34553744.0000,156611392.0000,156.6114
1,6,10,-138.0,-80.0,3,1396.2775,38.9938,35807728.0000,162294944.0000,162.2949
1,6,10,-138.0,-80.0,4,1374.4363,40.8112,33677880.0000,152641632.0000,152.6416
1,6,10,-138.0,-80.0,5,1365.5400,39.6475,34442028.0000,156105056.0000,156.1051
1,6,10,-138.0,-80.0,6,1339.3888,38.7250,34587188.0000,156762976.0000,156.7630
1,6,10,-138.0,-80.0,7,1330.5275,38.4512,34602976.0000,156834528.0000,156.8345
1,6,10,-138.0,-80.0,8,1324.8163,37.9875,34875060.0000,158067728.0000,158.0677
1,6,10,-138.0,-80.0,9,1313.8925,38.4950,34131512.0000,154697664.0000,154.6977
1,6,10,-138.0,-80.0,10,1313.1425,38.2587,34322672.0000,155564080.0000,155.5641
2,6,9,-144.0,-80.0,1,990.6275,24.5825,40298080.0000,182647024.0000,182.6470
2,6,9,-144.0,-80.0,2,991.7712,24.1562,41056508.0000,186084528.0000,186.0845
2,6,9,-144.0,-80.0,3,985.3625,23.7862,41425720.0000,187757936.0000,187.7579
2,6,9,-144.0,-80.0,4,987.1450,23.6412,41755196.0000,189251248.0000,189.2512
2,6,9,-144.0,-80.0,5,984.6050,23.5362,41833556.0000,189606416.0000,189.6064
2,6,9,-144.0,-80.0,6,982.1650,23.4000,41972864.0000,190237808.0000,190.2378
2,6,9,-144.0,-80.0,7,982.3488,23.3475,42075116.0000,190701264.0000,190.7013
2,6,9,-144.0,-80.0,8,979.5137,23.1500,42311612.0000,191773152.0000,191.7732
2,6,9,-144.0,-80.0,9,978.5513,23.0613,42432708.0000,192322016.0000,192.3220
2,6,9,-144.0,-80.0,10,977.2300,23.0162,42458264.0000,192437840.0000,192.4378
3,6,8,-150.0,-80.0,1,1013.6625,24.4337,41486164.0000,188031888.0000,188.0319
3,6,8,-150.0,-80.0,2,1021.1775,23.7625,42974332.0000,194776864.0000,194.7769
3,6,8,-150.0,-80.0,3,1026.8450,23.3987,43884608.0000,198902608.0000,198.9026
3,6,8,-150.0,-80.0,4,1061.5350,26.4375,40152628.0000,181987776.0000,181.9878
3,6,8,-150.0,-80.0,5,1099.2238,29.2537,37575484.0000,170307136.0000,170.3071
3,6,8,-150.0,-80.0,6,1159.0699,28.9737,40004144.0000,181314784.0000,181.3148
3,6,8,-150.0,-80.0,7,1189.1425,30.7062,38726400.0000,175523536.0000,175.5235
3,6,8,-150.0,-80.0,8,1258.8063,30.8300,40830568.0000,185060464.0000,185.0605
3,6,8,-150.0,-80.0,9,1232.2662,30.2412,40747864.0000,184685632.0000,184.6856
3,6,8,-150.0,-80.0,10,1240.8750,30.4750,40717800.0000,184549360.0000,184.5494
4,6,7,-156.0,-80.0,1,517.7875,16.4912,31397714.0000,142307008.0000,142.3070
4,6,7,-156.0,-80.0,2,524.7062,16.2162,32356818.0000,146654048.0000,146.6540
4,6,7,-156.0,-80.0,3,534.2687,16.0037,33383972.0000,151309520.0000,151.3095
4,6,7,-156.0,-80.0,4,538.6600,15.8425,34000948.0000,154105904.0000,154.1059
4,6,7,-156.0,-80.0,5,544.3275,15.6950,34681588.0000,157190832.0000,157.1908
4,6,7,-156.0,-80.0,6,548.5212,15.5938,35175712.0000,159430400.0000,159.4304
4,6,7,-156.0,-80.0,7,552.9163,15.5350,35591652.0000,161315616.0000,161.3156
4,6,7,-156.0,-80.0,8,558.7512,15.4450,36176836.0000,163967904.0000,163.9679
4,6,7,-156.0,-80.0,9,562.2875,15.3850,36547776.0000,165649152.0000,165.6492
4,6,7,-156.0,-80.0,10,564.6138,15.3375,36812636.0000,166849600.0000,166.8496
5,6,6,-162.0,-80.0,1,504.4337,16.0537,31421556.0000,142415072.0000,142.4151
5,6,6,-162.0,-80.0,2,517.0187,15.8238,32673592.0000,148089792.0000,148.0898
5,6,6,-162.0,-80.0,3,526.9363,15.6088,33759032.0000,153009440.0000,153.0094
5,6,6,-162.0,-80.0,4,534.8887,15.5175,34470032.0000,156231984.0000,156.2320
5,6,6,-162.0,-80.0,5,543.0463,15.4362,35179936.0000,159449552.0000,159.4496
5,6,6,-162.0,-80.0,6,550.3038,15.3562,35835820.0000,162422272.0000,162.4223
5,6,6,-162.0,-80.0,7,556.2687,15.2888,36384188.0000,164907696.0000,164.9077
5,6,6,-162.0,-80.0,8,560.5112,15.2375,36784988.0000,166724288.0000,166.7243
5,6,6,-162.0,-80.0,9,567.8375,15.1800,37406952.0000,169543280.0000,169.5433
5,6,6,-162.0,-80.0,10,572.4537,15.1538,37776376.0000,171217648.0000,171.2176
6,7,6,-162.0,-74.0,1,1350.4650,9.2275,146352208.0000,663326784.0000,663.3268
6,7,6,-162.0,-74.0,2,1350.4313,9.0200,149715216.0000,678569280.0000,678.5693
6,7,6,-162.0,-74.0,3,1353.4012,8.8663,152646416.0000,691854656.0000,691.8547
6,7,6,-162.0,-74.0,4,1356.1813,8.7638,154748992.0000,701384320.0000,701.3843
6,7,6,-162.0,-74.0,5,1360.9125,8.6313,157672704.0000,714635776.0000,714.6358
6,7,6,-162.0,-74.0,6,1363.4200,8.6250,158077712.0000,716471424.0000,716.4714
6,7,6,-162.0,-74.0,7,1365.6737,8.5663,159424928.0000,722577536.0000,722.5775
6,7,6,-162.0,-74.0,8,1368.0663,8.5400,160195120.0000,726068352.0000,726.0684
6,7,6,-162.0,-74.0,9,1372.7150,8.4400,162643968.0000,737167552.0000,737.1676
6,7,6,-162.0,-74.0,10,1375.5837,8.4138,163492352.0000,741012736.0000,741.0127
7,7,7,-156.0,-74.0,1,1315.3175,9.0113,145963936.0000,661566976.0000,661.5670
7,7,7,-156.0,-74.0,2,1305.3213,8.7312,149499952.0000,677593600.0000,677.5936
7,7,7,-156.0,-74.0,3,1300.7975,8.5063,152922544.0000,693106176.0000,693.1062
7,7,7,-156.0,-74.0,4,1296.0038,8.3863,154539136.0000,700433216.0000,700.4332
7,7,7,-156.0,-74.0,5,1296.3287,8.3088,156019712.0000,707143744.0000,707.1437
7,7,7,-156.0,-74.0,6,1298.4313,8.2312,157744128.0000,714959488.0000,714.9595
7,7,7,-156.0,-74.0,7,1300.7662,8.1838,158945008.0000,720402368.0000,720.4024
7,7,7,-156.0,-74.0,8,1301.9875,8.1050,160640064.0000,728085056.0000,728.0851
7,7,7,-156.0,-74.0,9,1303.7362,8.1075,160806192.0000,728838016.0000,728.8380
7,7,7,-156.0,-74.0,10,1310.0950,8.0463,162820560.0000,737967936.0000,737.9679
8,7,8,-150.0,-74.0,1,552.7463,2047.9375,269903.9062,1223312.5000,1.2233
8,7,8,-150.0,-74.0,2,596.6700,2047.9375,291351.6875,1320522.3750,1.3205
8,7,8,-150.0,-74.0,3,622.0950,2047.9375,303766.5937,1376791.7500,1.3768
8,7,8,-150.0,-74.0,4,655.1912,2047.9375,319927.3750,1450038.8750,1.4500
8,7,8,-150.0,-74.0,5,693.5513,2047.9375,338658.4375,1534935.5000,1.5349
8,7,8,-150.0,-74.0,6,721.0850,2047.9375,352103.0937,1595872.1250,1.5959
8,7,8,-150.0,-74.0,7,718.0187,2047.9375,350605.8125,1589085.8750,1.5891
8,7,8,-150.0,-74.0,8,728.4150,2047.9375,355682.2500,1612094.2500,1.6121
8,7,8,-150.0,-74.0,9,743.4163,2047.9375,363007.3437,1645294.5000,1.6453
8,7,8,-150.0,-74.0,10,746.2925,2047.9375,364411.7812,1651660.0000,1.6517
9,7,9,-144.0,-74.0,1,736.2288,15.1350,48644120.0000,220474608.0000,220.4746
9,7,9,-144.0,-74.0,2,738.8887,14.9537,49411608.0000,223953184.0000,223.9532
9,7,9,-144.0,-74.0,3,740.9200,14.7725,50155356.0000,227324144.0000,227.3241
9,7,9,-144.0,-74.0,4,743.7662,14.6575,50743048.0000,229987792.0000,229.9878
9,7,9,-144.0,-74.0,5,750.5463,14.5612,51544084.0000,233618416.0000,233.6184
9,7,9,-144.0,-74.0,6,751.7762,14.4938,51869000.0000,235091056.0000,235.0911
9,7,9,-144.0,-74.0,7,752.3800,14.4350,52121924.0000,236237408.0000,236.2374
9,7,9,-144.0,-74.0,8,752.8800,14.3638,52415280.0000,237567024.0000,237.5670
9,7,9,-144.0,-74.0,9,756.1962,14.3038,52866992.0000,239614368.0000,239.6144
9,7,9,-144.0,-74.0,10,759.1038,14.2587,53237752.0000,241294800.0000,241.2948
10,7,10,-138.0,-74.0,1,438.6625,47.1700,9299609.0000,42149548.0000,42.1495
10,7,10,-138.0,-74.0,2,447.4738,46.2575,9673540.0000,43844352.0000,43.8444
10,7,10,-138.0,-74.0,3,460.4862,45.5787,10103091.0000,45791252.0000,45.7913
10,7,10,-138.0,-74.0,4,466.6038,45.0213,10364078.0000,46974148.0000,46.9741
10,7,10,-138.0,-74.0,5,464.4425,44.6250,10407675.0000,47171748.0000,47.1717
10,7,10,-138.0,-74.0,6,461.4850,44.4550,10380946.0000,47050600.0000,47.0506
10,7,10,-138.0,-74.0,7,469.7662,44.4450,10569609.0000,47905696.0000,47.9057
10,7,10,-138.0,-74.0,8,468.8813,44.1538,10619285.0000,48130848.0000,48.1308
10,7,10,-138.0,-74.0,9,468.0413,43.8825,10665784.0000,48341600.0000,48.3416
10,7,10,-138.0,-74.0,10,469.4012,43.6975,10742063.0000,48687328.0000,48.6873
11,8,10,-138.0,-68.0,1,95.7800,38.4025,2494108.5000,11304298.0000,11.3043
11,8,10,-138.0,-68.0,2,107.4975,37.9000,2836345.7500,12855454.0000,12.8555
11,8,10,-138.0,-68.0,3,113.1338,37.9650,2979949.0000,13506321.0000,13.5063
11,8,10,-138.0,-68.0,4,116.6200,37.3987,3118286.2500,14133321.0000,14.1333
11,8,10,-138.0,-68.0,5,118.6888,37.3150,3180725.0000,14416318.0000,14.4163
11,8,10,-138.0,-68.0,6,117.0700,37.0175,3162558.2500,14333979.0000,14.3340
11,8,10,-138.0,-68.0,7,119.8475,37.0850,3231697.5000,14647346.0000,14.6473
11,8,10,-138.0,-68.0,8,119.5150,36.9637,3233302.7500,14654622.0000,14.6546
11,8,10,-138.0,-68.0,9,122.3538,36.8075,3324153.0000,15066391.0000,15.0664
11,8,10,-138.0,-68.0,10,123.3025,36.8837,3343003.7500,15151831.0000,15.1518
12,8,9,-144.0,-68.0,1,897.3362,24.3837,36800584.0000,166794976.0000,166.7950
12,8,9,-144.0,-68.0,2,873.8063,24.0975,36261284.0000,164350656.0000,164.3507
12,8,9,-144.0,-68.0,3,848.7037,23.7375,35753716.0000,162050144.0000,162.0501
12,8,9,-144.0,-68.0,4,824.7687,23.7425,34738076.0000,157446864.0000,157.4469
12,8,9,-144.0,-68.0,5,872.1825,23.6650,36855376.0000,167043312.0000,167.0433
12,8,9,-144.0,-68.0,6,868.0300,23.4812,36966940.0000,167548960.0000,167.5490
12,8,9,-144.0,-68.0,7,866.9800,23.5450,36822256.0000,166893200.0000,166.8932
12,8,9,-144.0,-68.0,8,858.2575,23.4788,36554652.0000,165680304.0000,165.6803
