R,mV,mV_ref,mA,mA_ref,ohm,ohm_ref
10,87.485,87,8.78,8.78,9.964123007,9.908883827
10,87.716247,87,8.78,8.78,9.990460934,9.908883827
10,87.947502,87,8.78,8.78,10.01679977,9.908883827
10,87.651252,87,8.78,8.78,9.983058314,9.908883827
10,87.449996,87,8.78,8.78,9.960136219,9.908883827
10,87.837501,87,8.78,8.78,10.00427118,9.908883827
10,87.388748,87,8.78,8.78,9.953160364,9.908883827
10,87.699996,87,8.78,8.78,9.988610023,9.908883827
10,87.440002,87,8.78,8.78,9.95899795,9.908883827
10,87.875,87,8.78,8.78,10.00854214,9.908883827
100,873.89624,875,8.76,8.76,99.75984475,99.88584475
100,868.353759,875,8.76,8.76,99.12714144,99.88584475
100,871.732482,875,8.76,8.76,99.51284041,99.88584475
100,874.403747,875,8.76,8.76,99.81777934,99.88584475
100,869.943725,875,8.76,8.76,99.30864441,99.88584475
100,871.15747,875,8.76,8.76,99.44719977,99.88584475
100,868.538757,875,8.76,8.76,99.14825993,99.88584475
100,870.131225,875,8.76,8.76,99.33004852,99.88584475
100,871.505004,875,8.76,8.76,99.4868726,99.88584475
100,872.905029,875,8.76,8.76,99.64669281,99.88584475
1000,677.058776,690,0.669447509,0.7,1011.369475,985.7142857
1000,706.933776,690,0.684463745,0.7,1032.828665,985.7142857
1000,723.267517,690,0.700651245,0.7,1032.278929,985.7142857
1000,716.158752,690,0.692397521,0.7,1034.317325,985.7142857
1000,708.73999,690,0.686243774,0.7,1032.781669,985.7142857
1000,699.315002,690,0.675893737,0.7,1034.652289,985.7142857
1000,690.081237,690,0.670848754,0.7,1028.668881,985.7142857
1000,689.913757,690,0.675590026,0.7,1021.201809,985.7142857
1000,700.922485,690,0.690022521,0.7,1015.796534,985.7142857
1000,717.86499,690,0.70494873,0.7,1018.322269,985.7142857
10000,1538.57373,1540,0.157186121,0.158,9797.302651,9746.835443
10000,1538.081298,1540,0.157020129,0.158,9807.659756,9746.835443
10000,1537.75,1540,0.156813623,0.158,9820.575346,9746.835443
10000,1537.742553,1540,0.156683252,0.158,9828.746725,9746.835443
10000,1537.778808,1540,0.1567245,0.158,9826.159918,9746.835443
10000,1537.89746,1540,0.156666626,0.158,9829.789786,9746.835443
10000,1537.952514,1540,0.156602124,0.158,9833.838524,9746.835443
10000,1537.607543,1540,0.156171997,0.158,9860.922762,9746.835443
10000,1537.378784,1540,0.156497876,0.158,9840.389144,9746.835443
10000,1537.571289,1540,0.15642937,0.158,9844.698601,9746.835443
