Point,X (mm),Y (mm),Z (mm),Thickness (nm),Ge (Weight %),Te (Weight %),Sb (Weight %),Ge (Stoichiometry),Te (Stoichiometry),Sb (Stoichiometry)
0,110.80,119.53,120.50,109.26,7.7,82.6,9.7,1.33,8.15,1.00
1,104.76,119.38,120.50,124.84,5.6,86.1,8.3,1.14,9.90,1.00
2,98.84,119.29,120.50,146.55,4.3,87.9,7.7,1.00,11.60,1.07
3,92.92,119.20,120.50,167.94,3.0,90.3,6.7,1.00,17.10,1.32
4,86.87,119.11,120.50,191.50,2.4,91.2,6.4,1.00,21.62,1.58
5,122.79,113.72,120.50,76.44,16.8,70.0,13.3,2.12,5.04,1.00
6,116.75,113.63,120.50,87.86,12.2,75.4,12.4,1.66,5.81,1.00
7,110.89,113.54,120.50,100.89,9.3,79.5,11.2,1.40,6.79,1.00
8,104.91,113.45,120.50,115.35,6.7,83.2,10.1,1.12,7.85,1.00
9,98.93,113.37,120.50,135.28,5.1,85.6,9.3,1.00,9.54,1.09
10,93.00,113.28,120.50,153.25,3.8,87.7,8.5,1.00,12.97,1.31
11,80.98,113.10,120.50,0.00,0.0,89.6,10.4,0.00,8.20,1.00
12,87.02,113.13,120.50,167.64,2.9,89.3,7.8,1.00,17.29,1.58
13,75.00,113.01,120.50,0.00,0.0,77.9,22.1,0.00,3.36,1.00
14,128.86,107.89,120.50,64.99,26.2,59.0,14.8,2.96,3.79,1.00
15,122.88,107.74,120.50,74.39,19.4,65.1,15.5,2.10,4.01,1.00
16,116.90,107.65,120.50,83.73,15.0,70.8,14.3,1.76,4.73,1.00
17,110.98,107.56,120.50,93.69,11.2,75.4,13.5,1.39,5.34,1.00
18,105.00,107.47,120.50,108.03,8.2,79.7,12.0,1.14,6.32,1.00
19,99.01,107.38,120.50,122.58,6.2,82.3,11.4,1.00,7.50,1.09
20,93.03,107.30,120.50,137.98,4.6,85.2,10.1,1.00,10.47,1.30
21,87.11,107.21,120.50,149.44,3.7,87.3,9.0,1.00,13.33,1.43
22,81.07,107.12,120.50,165.54,2.9,88.3,8.8,1.00,17.51,1.83
23,75.09,107.03,120.50,0.00,0.0,90.3,9.7,0.00,8.92,1.00
24,69.10,106.94,120.50,0.00,0.0,80.3,19.7,0.00,3.90,1.00
25,134.93,102.00,120.50,61.87,36.9,44.8,18.3,3.38,2.34,1.00
26,122.91,101.82,120.50,71.44,22.6,59.2,18.2,2.08,3.11,1.00
27,128.89,101.84,120.50,66.59,29.1,51.9,19.0,2.57,2.61,1.00
28,116.99,101.67,120.50,79.77,17.1,66.1,16.8,1.70,3.75,1.00
29,111.07,101.58,120.50,88.24,13.1,70.7,16.2,1.35,4.16,1.00
30,105.08,101.49,120.50,100.21,9.9,74.9,15.1,1.10,4.72,1.00
31,99.10,101.40,120.50,115.03,7.5,78.1,14.5,1.00,5.96,1.16
32,93.12,101.31,120.50,126.60,5.4,81.8,12.7,1.00,8.57,1.40
33,87.20,101.22,120.50,137.73,4.3,84.4,11.3,1.00,11.24,1.58
34,81.16,101.14,120.50,151.74,3.3,86.9,9.7,1.00,14.80,1.73
35,75.17,101.05,120.50,162.78,2.8,87.9,9.3,1.00,17.59,1.95
36,69.25,100.96,120.50,0.00,0.0,89.5,10.5,0.00,8.10,1.00
37,63.21,100.87,120.50,0.00,0.0,72.8,27.2,0.00,2.55,1.00
38,135.02,96.01,120.50,63.78,41.5,38.6,19.9,3.50,1.85,1.00
39,128.98,95.92,120.50,66.19,32.8,46.2,21.0,2.61,2.10,1.00
40,123.06,95.84,120.50,70.33,25.9,53.4,20.7,2.10,2.46,1.00
41,117.08,95.75,120.50,76.53,20.4,60.5,19.1,1.79,3.03,1.00
42,111.16,95.66,120.50,83.52,15.3,64.9,19.7,1.30,3.14,1.00
43,99.19,95.48,120.50,104.15,8.8,74.0,17.2,1.00,4.76,1.16
44,105.17,95.51,120.50,93.51,11.6,70.0,18.5,1.05,3.62,1.00
45,93.21,95.33,120.50,114.68,6.8,77.7,15.6,1.00,6.53,1.37
46,81.31,95.22,120.50,138.51,4.0,82.6,13.5,1.00,11.86,2.03
47,87.23,95.24,120.50,127.09,5.2,80.5,14.3,1.00,8.85,1.65
48,75.26,95.07,120.50,147.68,3.1,85.1,11.7,1.00,15.50,2.24
49,69.34,94.98,120.50,0.00,0.0,88.3,11.7,0.00,7.21,1.00
50,63.30,94.89,120.50,0.00,0.0,86.2,13.8,0.00,5.96,1.00
51,135.11,90.09,120.50,65.74,44.0,33.9,22.1,3.33,1.46,1.00
52,141.09,90.12,120.50,66.30,52.0,27.8,20.2,4.31,1.31,1.00
53,129.01,89.94,120.50,67.90,35.9,40.7,23.4,2.57,1.66,1.00
54,123.15,89.85,120.50,69.74,28.5,47.2,24.3,1.97,1.85,1.00
55,117.16,89.76,120.50,74.38,22.9,53.5,23.6,1.62,2.16,1.00
56,111.24,89.68,120.50,80.12,17.8,58.6,23.6,1.27,2.37,1.00
57,105.20,89.59,120.50,88.26,13.3,64.2,22.4,1.00,2.74,1.00
58,99.28,89.50,120.50,96.28,10.1,68.9,20.9,1.00,3.87,1.23
59,93.30,89.35,120.50,105.49,7.7,71.8,20.5,1.00,5.34,1.60
60,81.33,89.23,120.50,124.38,4.7,79.2,16.1,1.00,9.60,2.04
61,87.32,89.26,120.50,116.16,6.0,75.5,18.4,1.00,7.11,1.82
62,75.35,89.08,120.50,133.03,4.0,81.2,14.8,1.00,11.66,2.23
63,63.39,88.97,120.50,0.00,0.0,85.9,14.1,0.00,5.81,1.00
64,69.37,88.99,120.50,0.00,0.0,85.0,15.0,0.00,5.42,1.00
65,57.47,88.82,120.50,0.00,0.0,86.9,13.1,0.00,6.33,1.00
