Point,X (mm),Y (mm),Z (mm),Thickness (nm),Ge (Weight %),Te (Weight %),Sb (Weight %),Ge (Stoichiometry),Te (Stoichiometry),Sb (Stoichiometry)
0,110.8,119.53,120.5,32.78127813,7.7,82.6,9.7,1.33,8.15,1
1,104.76,119.38,120.5,37.45574557,5.6,86.1,8.3,1.14,9.9,1
2,98.84,119.29,120.5,43.96939694,4.3,87.9,7.7,1,11.6,1.07
3,92.92,119.2,120.5,50.3870387,3,90.3,6.7,1,17.1,1.32
4,86.87,119.11,120.5,57.45574557,2.4,91.2,6.4,1,21.62,1.58
5,122.79,113.72,120.5,22.93429343,16.8,70,13.3,2.12,5.04,1
6,116.75,113.63,120.5,26.36063606,12.2,75.4,12.4,1.66,5.81,1
7,110.89,113.54,120.5,30.270027,9.3,79.5,11.2,1.4,6.79,1
8,104.91,113.45,120.5,34.60846085,6.7,83.2,10.1,1.12,7.85,1
9,98.93,113.37,120.5,40.58805881,5.1,85.6,9.3,1,9.54,1.09
10,93,113.28,120.5,45.97959796,3.8,87.7,8.5,1,12.97,1.31
11,80.98,113.1,120.5,0.1,0,89.6,10.4,0,8.2,1
12,87.02,113.13,120.5,50.2970297,2.9,89.3,7.8,1,17.29,1.58
13,75,113.01,120.5,0.1,0,77.9,22.1,0,3.36,1
14,128.86,107.89,120.5,19.49894989,26.2,59,14.8,2.96,3.79,1
15,122.88,107.74,120.5,22.31923192,19.4,65.1,15.5,2.1,4.01,1
16,116.9,107.65,120.5,25.12151215,15,70.8,14.3,1.76,4.73,1
17,110.98,107.56,120.5,28.10981098,11.2,75.4,13.5,1.39,5.34,1
18,105,107.47,120.5,32.41224122,8.2,79.7,12,1.14,6.32,1
19,99.01,107.38,120.5,36.77767777,6.2,82.3,11.4,1,7.5,1.09
20,93.03,107.3,120.5,41.39813981,4.6,85.2,10.1,1,10.47,1.3
21,87.11,107.21,120.5,44.83648365,3.7,87.3,9,1,13.33,1.43
22,81.07,107.12,120.5,49.6669667,2.9,88.3,8.8,1,17.51,1.83
23,75.09,107.03,120.5,0.1,0,90.3,9.7,0,8.92,1
24,69.1,106.94,120.5,0.1,0,80.3,19.7,0,3.9,1
25,134.93,102,120.5,18.56285629,36.9,44.8,18.3,3.38,2.34,1
26,122.91,101.82,120.5,21.43414341,22.6,59.2,18.2,2.08,3.11,1
27,128.89,101.84,120.5,19.9789979,29.1,51.9,19,2.57,2.61,1
28,116.99,101.67,120.5,23.93339334,17.1,66.1,16.8,1.7,3.75,1
29,111.07,101.58,120.5,26.47464746,13.1,70.7,16.2,1.35,4.16,1
30,105.08,101.49,120.5,30.0660066,9.9,74.9,15.1,1.1,4.72,1
31,99.1,101.4,120.5,34.51245125,7.5,78.1,14.5,1,5.96,1.16
32,93.12,101.31,120.5,37.98379838,5.4,81.8,12.7,1,8.57,1.4
33,87.2,101.22,120.5,41.32313231,4.3,84.4,11.3,1,11.24,1.58
34,81.16,101.14,120.5,45.52655266,3.3,86.9,9.7,1,14.8,1.73
35,75.17,101.05,120.5,48.83888389,2.8,87.9,9.3,1,17.59,1.95
36,69.25,100.96,120.5,0.1,0,89.5,10.5,0,8.1,1
37,63.21,100.87,120.5,0.1,0,72.8,27.2,0,2.55,1
38,135.02,96.01,120.5,19.13591359,41.5,38.6,19.9,3.5,1.85,1
39,128.98,95.92,120.5,19.8589859,32.8,46.2,21,2.61,2.1,1
40,123.06,95.84,120.5,21.10111011,25.9,53.4,20.7,2.1,2.46,1
41,117.08,95.75,120.5,22.96129613,20.4,60.5,19.1,1.79,3.03,1
42,111.16,95.66,120.5,25.05850585,15.3,64.9,19.7,1.3,3.14,1
43,99.19,95.48,120.5,31.24812481,8.8,74,17.2,1,4.76,1.16
44,105.17,95.51,120.5,28.05580558,11.6,70,18.5,1.05,3.62,1
45,93.21,95.33,120.5,34.40744074,6.8,77.7,15.6,1,6.53,1.37
46,81.31,95.22,120.5,41.55715572,4,82.6,13.5,1,11.86,2.03
47,87.23,95.24,120.5,38.13081308,5.2,80.5,14.3,1,8.85,1.65
48,75.26,95.07,120.5,44.30843084,3.1,85.1,11.7,1,15.5,2.24
49,69.34,94.98,120.5,0.1,0,88.3,11.7,0,7.21,1
50,63.3,94.89,120.5,0.1,0,86.2,13.8,0,5.96,1
51,135.11,90.09,120.5,19.7239724,44,33.9,22.1,3.33,1.46,1
52,141.09,90.12,120.5,19.8919892,52,27.8,20.2,4.31,1.31,1
53,129.01,89.94,120.5,20.3720372,35.9,40.7,23.4,2.57,1.66,1
54,123.15,89.85,120.5,20.92409241,28.5,47.2,24.3,1.97,1.85,1
55,117.16,89.76,120.5,22.31623162,22.9,53.5,23.6,1.62,2.16,1
56,111.24,89.68,120.5,24.03840384,17.8,58.6,23.6,1.27,2.37,1
57,105.2,89.59,120.5,26.48064806,13.3,64.2,22.4,1,2.74,1
58,99.28,89.5,120.5,28.88688869,10.1,68.9,20.9,1,3.87,1.23
59,93.3,89.35,120.5,31.65016502,7.7,71.8,20.5,1,5.34,1.6
