Node_ID,Row,Col,X_mm,Y_mm,FZ_450nm,FY_555nm,FXL_600nm,NIR_855nm,VIS_1,FD_1,F2_425nm,F3_475nm,F4_515nm,F6_640nm,VIS_2,FD_2,F1_405nm,F7_690nm,F8_745nm,F5_550nm,VIS_3,FD_3
1,1,1,-196.00,-122.00,65.0,272.0,320.0,59.0,306.0,999.0,59.0,71.0,119.0,293.0,305.0,999.0,48.0,137.0,47.0,88.0,305.0,999.0
2,1,2,-188.86,-122.00,88.0,357.0,409.0,87.0,388.0,999.0,87.0,96.0,159.0,370.0,389.0,999.0,73.0,179.0,70.0,123.0,389.0,999.0
3,1,3,-181.71,-122.00,81.0,333.0,384.0,80.0,367.0,999.0,79.0,89.0,147.0,346.0,367.0,999.0,66.0,165.0,63.0,114.0,367.0,999.0
4,1,4,-174.57,-122.00,83.0,341.0,391.0,84.0,375.0,999.0,83.0,91.0,150.0,351.0,375.0,999.0,70.0,167.0,66.0,118.0,375.0,999.0
5,1,5,-167.43,-122.00,89.0,365.0,417.0,93.0,400.0,999.0,92.0,99.0,162.0,372.0,401.0,999.0,78.0,177.0,73.0,128.0,400.0,999.0
6,1,6,-160.29,-122.00,75.0,313.0,361.0,74.0,348.0,999.0,73.0,82.0,136.0,325.0,349.0,999.0,62.0,153.0,59.0,106.0,349.0,999.0
7,1,7,-153.14,-122.00,79.0,330.0,380.0,82.0,368.0,999.0,80.0,87.0,144.0,342.0,368.0,999.0,68.0,164.0,65.0,114.0,369.0,999.0
8,1,8,-146.00,-122.00,124.0,507.0,574.0,150.0,550.0,999.0,144.0,142.0,224.0,505.0,549.0,999.0,126.0,250.0,116.0,190.0,549.0,999.0
9,1,9,-138.86,-122.00,134.0,537.0,603.0,161.0,580.0,999.0,155.0,152.0,241.0,528.0,581.0,999.0,135.0,262.0,124.0,203.0,581.0,999.0
10,1,10,-131.71,-122.00,127.0,515.0,580.0,153.0,560.0,999.0,147.0,145.0,229.0,508.0,560.0,999.0,128.0,251.0,118.0,193.0,560.0,999.0
11,1,11,-124.57,-122.00,233.0,847.0,914.0,283.0,889.0,999.0,273.0,262.0,399.0,790.0,889.0,999.0,239.0,404.0,215.0,345.0,889.0,999.0
12,1,12,-117.43,-122.00,360.0,996.0,998.0,440.0,998.0,999.0,427.0,404.0,603.0,995.0,998.0,999.0,375.0,594.0,335.0,528.0,998.0,999.0
13,1,13,-110.29,-122.00,286.0,992.0,996.0,353.0,995.0,999.0,341.0,325.0,492.0,969.0,995.0,999.0,300.0,498.0,269.0,428.0,995.0,999.0
14,1,14,-103.14,-122.00,133.0,527.0,597.0,143.0,565.0,999.0,142.0,149.0,240.0,549.0,565.0,999.0,121.0,269.0,113.0,194.0,565.0,999.0
15,1,15,-96.00,-122.00,69.0,283.0,329.0,61.0,314.0,999.0,62.0,75.0,125.0,307.0,314.0,999.0,51.0,149.0,50.0,92.0,314.0,999.0
16,2,1,-196.00,-114.86,318.0,997.0,998.0,360.0,998.0,999.0,358.0,366.0,578.0,998.0,998.0,999.0,311.0,657.0,288.0,474.0,998.0,999.0
17,2,2,-188.86,-114.86,284.0,994.0,998.0,336.0,998.0,999.0,330.0,326.0,509.0,995.0,998.0,999.0,288.0,557.0,264.0,429.0,998.0,999.0
18,2,3,-181.71,-114.86,283.0,994.0,997.0,339.0,997.0,999.0,331.0,324.0,503.0,994.0,997.0,999.0,290.0,530.0,263.0,426.0,997.0,999.0
19,2,4,-174.57,-114.86,293.0,993.0,997.0,356.0,996.0,999.0,346.0,334.0,510.0,993.0,996.0,999.0,303.0,519.0,273.0,439.0,996.0,999.0
20,2,5,-167.43,-114.86,295.0,993.0,997.0,362.0,996.0,999.0,351.0,335.0,511.0,993.0,996.0,999.0,308.0,517.0,277.0,443.0,996.0,999.0
21,2,6,-160.29,-114.86,298.0,993.0,997.0,367.0,996.0,999.0,356.0,339.0,514.0,993.0,996.0,999.0,312.0,516.0,281.0,448.0,996.0,999.0
22,2,7,-153.14,-114.86,305.0,994.0,997.0,376.0,996.0,999.0,364.0,346.0,522.0,993.0,996.0,999.0,320.0,517.0,286.0,455.0,996.0,999.0
23,2,8,-146.00,-114.86,304.0,993.0,996.0,376.0,996.0,999.0,363.0,344.0,518.0,992.0,996.0,999.0,320.0,513.0,286.0,454.0,996.0,999.0
24,2,9,-138.86,-114.86,268.0,972.0,995.0,329.0,994.0,999.0,319.0,303.0,461.0,900.0,994.0,999.0,280.0,459.0,251.0,400.0,994.0,999.0
25,2,10,-131.71,-114.86,331.0,995.0,998.0,419.0,998.0,999.0,405.0,378.0,569.0,994.0,997.0,999.0,357.0,563.0,319.0,501.0,998.0,999.0
26,2,11,-124.57,-114.86,470.0,998.0,998.0,585.0,999.0,999.0,567.0,529.0,782.0,998.0,998.0,999.0,500.0,754.0,443.0,694.0,998.0,999.0
27,2,12,-117.43,-114.86,419.0,998.0,998.0,531.0,998.0,999.0,512.0,476.0,709.0,997.0,998.0,999.0,454.0,701.0,403.0,628.0,998.0,999.0
28,2,13,-110.29,-114.86,462.0,998.0,999.0,590.0,998.0,999.0,569.0,528.0,785.0,998.0,998.0,999.0,505.0,783.0,449.0,698.0,998.0,999.0
29,2,14,-103.14,-114.86,127.0,495.0,554.0,139.0,541.0,999.0,136.0,141.0,226.0,497.0,541.0,999.0,116.0,239.0,108.0,184.0,541.0,999.0
30,2,15,-96.00,-114.86,73.0,295.0,341.0,65.0,325.0,999.0,65.0,79.0,130.0,316.0,325.0,999.0,54.0,153.0,53.0,97.0,325.0,999.0
31,3,1,-196.00,-107.71,286.0,995.0,998.0,325.0,998.0,999.0,322.0,329.0,524.0,997.0,998.0,999.0,279.0,583.0,259.0,428.0,998.0,999.0
32,3,2,-188.86,-107.71,307.0,995.0,998.0,365.0,998.0,999.0,358.0,351.0,548.0,996.0,998.0,999.0,312.0,581.0,285.0,462.0,998.0,999.0
33,3,3,-181.71,-107.71,283.0,994.0,997.0,343.0,997.0,999.0,334.0,324.0,504.0,994.0,997.0,999.0,292.0,530.0,265.0,430.0,997.0,999.0
34,3,4,-174.57,-107.71,324.0,995.0,998.0,393.0,998.0,999.0,383.0,367.0,560.0,995.0,998.0,999.0,335.0,562.0,301.0,484.0,998.0,999.0
35,3,5,-167.43,-107.71,285.0,993.0,996.0,353.0,996.0,999.0,342.0,325.0,497.0,991.0,996.0,999.0,300.0,501.0,270.0,432.0,996.0,999.0
36,3,6,-160.29,-107.71,359.0,996.0,999.0,440.0,998.0,999.0,428.0,405.0,610.0,995.0,998.0,999.0,376.0,597.0,335.0,533.0,998.0,999.0
37,3,7,-153.14,-107.71,265.0,972.0,994.0,326.0,994.0,999.0,315.0,300.0,459.0,900.0,994.0,999.0,276.0,455.0,248.0,398.0,994.0,999.0
38,3,8,-146.00,-107.71,277.0,992.0,995.0,341.0,995.0,999.0,330.0,314.0,477.0,922.0,995.0,999.0,290.0,468.0,259.0,415.0,995.0,999.0
39,3,9,-138.86,-107.71,251.0,916.0,982.0,309.0,961.0,999.0,298.0,283.0,432.0,847.0,961.0,999.0,261.0,430.0,234.0,375.0,961.0,999.0
40,3,10,-131.71,-107.71,232.0,852.0,916.0,285.0,901.0,999.0,275.0,262.0,401.0,789.0,901.0,999.0,241.0,398.0,216.0,347.0,901.0,999.0
41,3,11,-124.57,-107.71,352.0,996.0,998.0,437.0,998.0,999.0,423.0,398.0,597.0,995.0,998.0,999.0,372.0,584.0,332.0,525.0,998.0,999.0
42,3,12,-117.43,-107.71,365.0,996.0,998.0,457.0,998.0,999.0,441.0,414.0,618.0,996.0,998.0,999.0,390.0,610.0,347.0,546.0,998.0,999.0
43,3,13,-110.29,-107.71,505.0,998.0,999.0,637.0,999.0,999.0,618.0,574.0,851.0,998.0,999.0,999.0,547.0,835.0,486.0,755.0,999.0,999.0
44,3,14,-103.14,-107.71,187.0,698.0,765.0,216.0,752.0,999.0,210.0,210.0,328.0,678.0,752.0,999.0,183.0,334.0,166.0,275.0,752.0,999.0
45,3,15,-96.00,-107.71,73.0,297.0,342.0,65.0,325.0,999.0,66.0,79.0,132.0,317.0,325.0,999.0,54.0,153.0,53.0,98.0,325.0,999.0
46,4,1,-196.00,-100.57,243.0,941.0,995.0,287.0,994.0,999.0,281.0,278.0,437.0,948.0,994.0,999.0,244.0,479.0,224.0,365.0,994.0,999.0
47,4,2,-188.86,-100.57,249.0,966.0,995.0,292.0,995.0,999.0,287.0,284.0,447.0,963.0,995.0,999.0,249.0,475.0,228.0,375.0,995.0,999.0
48,4,3,-181.71,-100.57,272.0,992.0,996.0,327.0,996.0,999.0,319.0,310.0,480.0,993.0,996.0,999.0,278.0,495.0,252.0,410.0,996.0,999.0
49,4,4,-174.57,-100.57,278.0,992.0,996.0,340.0,995.0,999.0,330.0,316.0,486.0,974.0,995.0,999.0,289.0,492.0,261.0,419.0,995.0,999.0
50,4,5,-167.43,-100.57,294.0,993.0,996.0,356.0,996.0,999.0,346.0,331.0,506.0,988.0,996.0,999.0,303.0,500.0,272.0,437.0,996.0,999.0
51,4,6,-160.29,-100.57,236.0,888.0,965.0,294.0,945.0,999.0,283.0,270.0,416.0,839.0,945.0,999.0,249.0,421.0,225.0,360.0,945.0,999.0
52,4,7,-153.14,-100.57,186.0,709.0,773.0,225.0,754.0,999.0,217.0,210.0,328.0,666.0,754.0,999.0,190.0,331.0,172.0,280.0,754.0,999.0
