Node_ID,Row,Col,X_mm,Y_mm,FZ_450nm,FY_555nm,FXL_600nm,NIR_855nm,VIS_1,FD_1,F2_425nm,F3_475nm,F4_515nm,F6_640nm,VIS_2,FD_2,F1_405nm,F7_690nm,F8_745nm,F5_550nm,VIS_3,FD_3
1,1,1,-182.00,-112.00,23.0,153.0,198.0,9.0,187.0,999.0,10.0,24.0,52.0,183.0,187.0,999.0,5.0,78.0,10.0,31.0,187.0,999.0
2,1,2,-173.11,-112.00,22.0,150.0,193.0,9.0,183.0,999.0,9.0,23.0,51.0,176.0,183.0,999.0,5.0,73.0,9.0,30.0,183.0,999.0
3,1,3,-164.22,-112.00,20.0,139.0,180.0,7.0,169.0,999.0,8.0,21.0,47.0,163.0,169.0,999.0,4.0,68.0,8.0,28.0,169.0,999.0
4,1,4,-155.33,-112.00,19.0,129.0,168.0,6.0,159.0,999.0,7.0,19.0,43.0,151.0,159.0,999.0,3.0,63.0,7.0,25.0,159.0,999.0
5,1,5,-146.44,-112.00,17.0,116.0,149.0,5.0,144.0,999.0,6.0,17.0,38.0,135.0,144.0,999.0,2.0,56.0,6.0,22.0,144.0,999.0
6,1,6,-137.56,-112.00,15.0,107.0,137.0,5.0,134.0,999.0,5.0,16.0,36.0,122.0,134.0,999.0,2.0,49.0,5.0,21.0,134.0,999.0
7,1,7,-128.67,-112.00,16.0,111.0,140.0,5.0,137.0,999.0,5.0,16.0,37.0,123.0,137.0,999.0,2.0,49.0,5.0,22.0,137.0,999.0
8,1,8,-119.78,-112.00,16.0,115.0,145.0,5.0,143.0,999.0,6.0,17.0,38.0,126.0,143.0,999.0,2.0,50.0,5.0,22.0,143.0,999.0
9,1,9,-110.89,-112.00,17.0,114.0,145.0,6.0,145.0,999.0,6.0,17.0,38.0,128.0,145.0,999.0,2.0,51.0,5.0,22.0,145.0,999.0
10,1,10,-102.00,-112.00,32.0,190.0,236.0,17.0,228.0,999.0,17.0,33.0,67.0,211.0,228.0,999.0,11.0,88.0,15.0,42.0,228.0,999.0
11,2,1,-182.00,-103.11,21.0,142.0,184.0,8.0,174.0,999.0,9.0,22.0,47.0,170.0,173.0,999.0,4.0,72.0,8.0,29.0,173.0,999.0
12,2,2,-173.11,-103.11,19.0,129.0,166.0,6.0,157.0,999.0,7.0,19.0,43.0,151.0,157.0,999.0,3.0,63.0,7.0,25.0,157.0,999.0
13,2,3,-164.22,-103.11,19.0,129.0,166.0,6.0,156.0,999.0,7.0,19.0,43.0,149.0,156.0,999.0,3.0,61.0,7.0,25.0,156.0,999.0
14,2,4,-155.33,-103.11,18.0,123.0,159.0,6.0,149.0,999.0,6.0,18.0,41.0,143.0,149.0,999.0,3.0,59.0,6.0,24.0,149.0,999.0
15,2,5,-146.44,-103.11,16.0,110.0,141.0,5.0,133.0,999.0,5.0,16.0,36.0,126.0,133.0,999.0,2.0,51.0,5.0,21.0,133.0,999.0
16,2,6,-137.56,-103.11,14.0,101.0,129.0,4.0,125.0,999.0,5.0,15.0,33.0,113.0,125.0,999.0,2.0,44.0,4.0,20.0,125.0,999.0
17,2,7,-128.67,-103.11,15.0,104.0,131.0,4.0,126.0,999.0,5.0,15.0,34.0,112.0,126.0,999.0,1.0,43.0,4.0,20.0,126.0,999.0
18,2,8,-119.78,-103.11,14.0,101.0,126.0,4.0,122.0,999.0,5.0,14.0,33.0,108.0,122.0,999.0,1.0,42.0,4.0,19.0,122.0,999.0
19,2,9,-110.89,-103.11,16.0,110.0,138.0,5.0,134.0,999.0,6.0,16.0,36.0,118.0,135.0,999.0,2.0,46.0,5.0,21.0,135.0,999.0
20,2,10,-102.00,-103.11,29.0,177.0,219.0,14.0,215.0,999.0,15.0,30.0,62.0,190.0,215.0,999.0,9.0,77.0,12.0,39.0,215.0,999.0
21,3,1,-182.00,-94.22,21.0,140.0,182.0,7.0,173.0,999.0,8.0,22.0,47.0,168.0,173.0,999.0,4.0,71.0,8.0,28.0,172.0,999.0
22,3,2,-173.11,-94.22,18.0,126.0,162.0,6.0,154.0,999.0,7.0,19.0,42.0,147.0,154.0,999.0,3.0,61.0,6.0,25.0,154.0,999.0
23,3,3,-164.22,-94.22,17.0,118.0,152.0,5.0,144.0,999.0,6.0,17.0,39.0,136.0,145.0,999.0,2.0,55.0,6.0,23.0,144.0,999.0
24,3,4,-155.33,-94.22,18.0,124.0,159.0,6.0,149.0,999.0,6.0,18.0,40.0,141.0,149.0,999.0,2.0,57.0,6.0,24.0,149.0,999.0
25,3,5,-146.44,-94.22,14.0,97.0,125.0,4.0,119.0,999.0,5.0,14.0,32.0,112.0,118.0,999.0,2.0,46.0,5.0,19.0,119.0,999.0
