Node_ID,Row,Col,X_mm,Y_mm,FZ_450nm,FY_555nm,FXL_600nm,NIR_855nm,VIS_1,FD_1,F2_425nm,F3_475nm,F4_515nm,F6_640nm,VIS_2,FD_2,F1_405nm,F7_690nm,F8_745nm,F5_550nm,VIS_3,FD_3
1,1,1,-196.00,-122.00,83.0,328.0,376.0,77.0,366.0,999.0,77.0,91.0,148.0,351.0,366.0,999.0,65.0,170.0,62.0,111.0,365.0,999.0
2,1,2,-188.86,-122.00,80.0,321.0,370.0,75.0,357.0,999.0,75.0,88.0,144.0,344.0,357.0,999.0,62.0,167.0,60.0,109.0,357.0,999.0
3,1,3,-181.71,-122.00,78.0,315.0,364.0,73.0,352.0,999.0,73.0,86.0,141.0,336.0,352.0,999.0,60.0,161.0,58.0,106.0,352.0,999.0
4,1,4,-174.57,-122.00,79.0,320.0,367.0,74.0,355.0,999.0,74.0,87.0,142.0,338.0,354.0,999.0,62.0,163.0,60.0,108.0,354.0,999.0
5,1,5,-167.43,-122.00,61.0,260.0,301.0,53.0,288.0,999.0,54.0,66.0,113.0,271.0,288.0,999.0,44.0,124.0,43.0,83.0,288.0,999.0
6,1,6,-160.29,-122.00,38.0,179.0,214.0,27.0,205.0,999.0,28.0,40.0,74.0,195.0,205.0,999.0,21.0,84.0,22.0,50.0,205.0,999.0
7,1,7,-153.14,-122.00,78.0,315.0,356.0,77.0,345.0,999.0,76.0,84.0,140.0,310.0,345.0,999.0,64.0,144.0,60.0,109.0,345.0,999.0
8,1,8,-146.00,-122.00,90.0,351.0,392.0,90.0,381.0,999.0,90.0,98.0,158.0,340.0,381.0,999.0,75.0,160.0,70.0,125.0,381.0,999.0
9,1,9,-138.86,-122.00,45.0,203.0,239.0,36.0,230.0,999.0,37.0,48.0,84.0,214.0,230.0,999.0,29.0,94.0,29.0,60.0,230.0,999.0
10,1,10,-131.71,-122.00,53.0,228.0,265.0,44.0,257.0,999.0,44.0,56.0,99.0,238.0,257.0,999.0,35.0,107.0,35.0,70.0,257.0,999.0
11,1,11,-124.57,-122.00,70.0,290.0,334.0,64.0,317.0,999.0,64.0,77.0,130.0,305.0,318.0,999.0,53.0,144.0,51.0,96.0,318.0,999.0
12,1,12,-117.43,-122.00,76.0,308.0,355.0,69.0,333.0,999.0,70.0,82.0,137.0,328.0,333.0,999.0,57.0,157.0,56.0,102.0,333.0,999.0
13,1,13,-110.29,-122.00,77.0,307.0,354.0,69.0,338.0,999.0,70.0,83.0,138.0,328.0,338.0,999.0,58.0,158.0,56.0,103.0,338.0,999.0
14,1,14,-103.14,-122.00,75.0,302.0,348.0,68.0,337.0,999.0,68.0,83.0,135.0,323.0,337.0,999.0,56.0,156.0,55.0,101.0,336.0,999.0
15,1,15,-96.00,-122.00,73.0,293.0,338.0,65.0,328.0,999.0,66.0,79.0,131.0,315.0,328.0,999.0,54.0,152.0,53.0,97.0,328.0,999.0
16,2,1,-196.00,-114.86,82.0,327.0,377.0,77.0,365.0,999.0,77.0,91.0,147.0,349.0,365.0,999.0,64.0,169.0,62.0,112.0,365.0,999.0
17,2,2,-188.86,-114.86,84.0,335.0,385.0,79.0,369.0,999.0,79.0,92.0,150.0,356.0,369.0,999.0,66.0,172.0,63.0,114.0,369.0,999.0
18,2,3,-181.71,-114.86,81.0,325.0,372.0,76.0,357.0,999.0,76.0,88.0,145.0,338.0,357.0,999.0,63.0,161.0,60.0,110.0,356.0,999.0
19,2,4,-174.57,-114.86,51.0,228.0,268.0,47.0,253.0,999.0,46.0,55.0,95.0,237.0,254.0,999.0,38.0,108.0,37.0,72.0,254.0,999.0
20,2,5,-167.43,-114.86,103.0,395.0,436.0,110.0,430.0,999.0,107.0,113.0,180.0,368.0,429.0,999.0,91.0,174.0,84.0,147.0,429.0,999.0
21,2,6,-160.29,-114.86,157.0,589.0,641.0,189.0,629.0,999.0,181.0,176.0,273.0,544.0,629.0,999.0,157.0,267.0,142.0,235.0,629.0,999.0
22,2,7,-153.14,-114.86,154.0,577.0,627.0,185.0,616.0,999.0,177.0,172.0,267.0,531.0,615.0,999.0,154.0,261.0,139.0,230.0,615.0,999.0
23,2,8,-146.00,-114.86,142.0,540.0,587.0,165.0,574.0,999.0,159.0,157.0,248.0,493.0,575.0,999.0,138.0,238.0,125.0,209.0,574.0,999.0
24,2,9,-138.86,-114.86,104.0,411.0,455.0,120.0,443.0,999.0,115.0,117.0,185.0,385.0,442.0,999.0,99.0,182.0,90.0,156.0,443.0,999.0
25,2,10,-131.71,-114.86,107.0,410.0,452.0,114.0,438.0,999.0,112.0,117.0,186.0,384.0,438.0,999.0,95.0,181.0,86.0,152.0,437.0,999.0
26,2,11,-124.57,-114.86,127.0,474.0,518.0,138.0,505.0,999.0,135.0,139.0,220.0,443.0,505.0,999.0,115.0,212.0,105.0,181.0,505.0,999.0
27,2,12,-117.43,-114.86,52.0,224.0,262.0,42.0,253.0,999.0,43.0,56.0,96.0,234.0,253.0,999.0,34.0,105.0,34.0,69.0,253.0,999.0
