Node_ID,Row,Col,X_mm,Y_mm,FZ_450nm,FY_555nm,FXL_600nm,NIR_855nm,VIS_1,FD_1,F2_425nm,F3_475nm,F4_515nm,F6_640nm,VIS_2,FD_2,F1_405nm,F7_690nm,F8_745nm,F5_550nm,VIS_3,FD_3
1,1,1,-186.00,-112.00,173.0,700.0,811.0,181.0,762.0,999.0,179.0,196.0,309.0,774.0,762.0,999.0,153.0,391.0,147.0,246.0,762.0,999.0
2,1,2,-180.29,-112.00,144.0,590.0,693.0,146.0,649.0,999.0,144.0,162.0,257.0,666.0,649.0,999.0,122.0,339.0,120.0,202.0,649.0,999.0
3,1,3,-174.57,-112.00,67.0,314.0,390.0,54.0,370.0,999.0,54.0,73.0,126.0,381.0,370.0,999.0,44.0,196.0,49.0,88.0,370.0,999.0
4,1,4,-168.86,-112.00,34.0,192.0,247.0,23.0,252.0,999.0,22.0,39.0,73.0,240.0,252.0,999.0,16.0,111.0,20.0,48.0,253.0,999.0
5,1,5,-163.14,-112.00,34.0,198.0,249.0,20.0,254.0,999.0,20.0,37.0,73.0,225.0,255.0,999.0,14.0,102.0,18.0,46.0,254.0,999.0
6,1,6,-157.43,-112.00,36.0,210.0,261.0,23.0,267.0,999.0,22.0,39.0,78.0,236.0,268.0,999.0,15.0,107.0,20.0,50.0,267.0,999.0
7,1,7,-151.71,-112.00,31.0,191.0,240.0,17.0,245.0,999.0,17.0,34.0,70.0,218.0,245.0,999.0,11.0,98.0,16.0,43.0,245.0,999.0
8,1,8,-146.00,-112.00,27.0,174.0,220.0,13.0,225.0,999.0,14.0,30.0,63.0,199.0,225.0,999.0,8.0,89.0,13.0,37.0,225.0,999.0
9,1,9,-140.29,-112.00,25.0,163.0,208.0,11.0,214.0,999.0,11.0,27.0,58.0,192.0,214.0,999.0,6.0,87.0,11.0,34.0,213.0,999.0
10,1,10,-134.57,-112.00,32.0,196.0,247.0,17.0,251.0,999.0,17.0,35.0,72.0,226.0,251.0,999.0,11.0,102.0,17.0,44.0,252.0,999.0
11,1,11,-128.86,-112.00,31.0,185.0,235.0,16.0,239.0,999.0,17.0,33.0,68.0,219.0,239.0,999.0,11.0,98.0,16.0,42.0,239.0,999.0
12,1,12,-123.14,-112.00,46.0,247.0,310.0,32.0,304.0,999.0,32.0,51.0,94.0,290.0,304.0,999.0,24.0,136.0,29.0,62.0,304.0,999.0
13,1,13,-117.43,-112.00,106.0,460.0,546.0,101.0,519.0,999.0,100.0,118.0,193.0,517.0,519.0,999.0,82.0,248.0,83.0,148.0,520.0,999.0
14,1,14,-111.71,-112.00,168.0,683.0,799.0,173.0,746.0,999.0,170.0,190.0,299.0,751.0,747.0,999.0,145.0,376.0,140.0,237.0,746.0,999.0
15,1,15,-106.00,-112.00,167.0,669.0,783.0,171.0,733.0,999.0,169.0,189.0,295.0,749.0,732.0,999.0,144.0,384.0,140.0,233.0,732.0,999.0
16,2,1,-186.00,-106.29,118.0,501.0,594.0,114.0,557.0,999.0,113.0,131.0,214.0,571.0,557.0,999.0,94.0,282.0,94.0,164.0,557.0,999.0
17,2,2,-180.29,-106.29,118.0,495.0,589.0,114.0,562.0,999.0,113.0,132.0,214.0,569.0,562.0,999.0,95.0,289.0,95.0,164.0,562.0,999.0
18,2,3,-174.57,-106.29,92.0,399.0,485.0,84.0,442.0,999.0,84.0,102.0,168.0,484.0,442.0,999.0,70.0,253.0,73.0,125.0,442.0,999.0
19,2,4,-168.86,-106.29,77.0,348.0,425.0,70.0,410.0,999.0,69.0,87.0,142.0,425.0,411.0,999.0,56.0,212.0,59.0,108.0,410.0,999.0
20,2,5,-163.14,-106.29,74.0,343.0,418.0,66.0,408.0,999.0,65.0,83.0,139.0,408.0,408.0,999.0,53.0,200.0,56.0,103.0,408.0,999.0
21,2,6,-157.43,-106.29,64.0,308.0,380.0,54.0,372.0,999.0,53.0,72.0,122.0,373.0,371.0,999.0,42.0,181.0,46.0,89.0,371.0,999.0
22,2,7,-151.71,-106.29,62.0,303.0,374.0,51.0,367.0,999.0,50.0,70.0,119.0,366.0,366.0,999.0,40.0,175.0,45.0,86.0,367.0,999.0
