Distance (d),Rapid 318 Raw,Rapid 318 Net,Keithley 193 Raw,Keithley Net
5,0.5,0.05,0.9667,0.0742
10,0.5,0.05,0.988,0.0955
15,0.5,0.05,1.007,0.1145
20,0.6,0.15,1.028,0.1355
25,0.6,0.15,1.052,0.1595
30,0.6,0.15,1.064,0.1715
35,0.7,0.25,1.075,0.1825
40,0.7,0.25,1.096,0.2035
45,0.7,0.25,1.096,0.2035
50,0.7,0.25,1.163,0.2705
55,0.8,0.35,1.199,0.3065
60,0.8,0.35,1.218,0.3255
65,0.8,0.35,1.199,0.3065
70,0.8,0.35,1.206,0.3135
75,0.8,0.35,1.24,0.3475
80,0.8,0.35,1.333,0.4405
85,0.9,0.45,1.38,0.4875
90,0.9,0.45,1.41,0.5175
95,0.9,0.45,1.56,0.6675
100,0.9,0.45,1.6,0.7075
